LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	1.80424	-2.67688	80000	1.40091e+06
1	4.80491	-6.43623	60000	1.38073e+06
2	7.48371	-9.23663	40000	1.36553e+06
3	10.9359	-10.5347	20000	1.33124e+06
4	15.6921	-15.277	0	1.31182e+06
5	18.2879	-19.7243	-20000	1.29532e+06
6	19.6425	-23.8071	-40000	1.2644e+06
7	22.4633	-26.1598	-60000	1.23419e+06
8	29.6795	-28.3101	-80000	1.0047e+06
9	0	0	-100000	0
0	0.089557	1.20812	80000	1.37301e+06
1	0.79347	4.78729	60000	1.33974e+06
2	2.06559	15.4564	40000	1.32289e+06
3	1.19537	22.024	20000	1.28584e+06
4	-4.33176	25.9618	0	1.24599e+06
5	-12.6744	30.0533	-20000	1.22529e+06
6	-21.857	28.7908	-40000	1.18767e+06
7	-35.9158	25.8837	-60000	1.16947e+06
8	-49.6715	22.5703	-80000	1.14968e+06
9	0	0	-100000	0
0	1.64254	0.880805	80000	1.3867e+06
1	4.51108	5.17898	60000	1.36723e+06
2	7.06936	10.5691	40000	1.35171e+06
3	12.779	20.4302	20000	1.27852e+06
4	22.0305	36.9446	0	1.24967e+06
5	30.5082	54.3673	-20000	1.23275e+06
6	38.1868	75.1122	-40000	1.21626e+06
7	44.7679	95.9028	-60000	1.17906e+06
8	48.9987	111.436	-80000	1.16586e+06
9	0	0	-100000	0
0	-0.575387	-0.284885	80000	1.39698e+06
1	2.48917	-1.40237	60000	1.38547e+06
2	6.89818	-4.19364	40000	1.36341e+06
3	11.5691	-7.39966	20000	1.31442e+06
4	15.2435	-11.0215	0	1.2987e+06
5	20.9121	-16.3202	-20000	1.27585e+06
6	28.4209	-28.3059	-40000	1.25445e+06
7	32.8194	-42.423	-60000	1.23028e+06
8	38.7279	-56.2189	-80000	1.21082e+06
9	0	0	-100000	0
0	-0.32004	0.0965679	80000	1.40112e+06
1	-1.61273	-0.164573	60000	1.38321e+06
2	0.353657	1.15754	40000	1.3616e+06
3	3.44307	5.01613	20000	1.34356e+06
4	9.68957	7.05045	0	1.2956e+06
5	15.659	6.92656	-20000	1.28007e+06
6	18.6076	8.06781	-40000	1.26459e+06
7	20.4762	5.00257	-60000	1.24818e+06
8	16.6923	3.37579	-80000	1.23305e+06
9	0	0	-100000	0
0	-0.793817	-1.75296	80000	1.3904e+06
1	-5.81848	-3.30341	60000	1.3714e+06
2	-9.12222	-3.55839	40000	1.34852e+06
3	-12.6345	-5.76401	20000	1.26304e+06
4	-17.5864	-5.63568	0	1.2455e+06
5	-22.4181	-5.60882	-20000	1.12884e+06
6	-25.779	-3.62503	-40000	1.10362e+06
7	-27.4743	-0.176308	-60000	1.08622e+06
8	-30.2289	2.39037	-80000	1.05216e+06
9	0	0	-100000	0
0	2.23899	1.13454	80000	1.39429e+06
1	5.21824	5.57764	60000	1.38072e+06
2	6.57395	12.3418	40000	1.35093e+06
3	10.4017	19.7914	20000	1.33744e+06
4	18.2616	25.9692	0	1.3199e+06
5	25.8596	34.8389	-20000	1.2507e+06
6	27.8236	47.3356	-40000	1.21624e+06
7	29.1327	60.7302	-60000	1.19929e+06
8	29.2812	70.2578	-80000	1.18067e+06
9	0	0	-100000	0
0	0.755891	-0.164847	80000	1.39659e+06
1	3.29662	-0.313667	60000	1.37282e+06
2	9.62332	-1.82084	40000	1.35713e+06
3	15.6404	-4.42726	20000	1.33857e+06
4	22.2657	-5.64155	0	1.30323e+06
5	34.566	-5.93626	-20000	1.28234e+06
6	50.6907	-6.87001	-40000	1.26961e+06
7	62.7272	-4.70648	-60000	1.24016e+06
8	71.0998	-3.44142	-80000	1.22001e+06
9	0	0	-100000	0
0	-0.0446635	-0.576899	80000	1.39213e+06
1	0.0169996	-2.62977	60000	1.3753e+06
2	-0.895727	-0.125159	40000	1.35354e+06
3	2.30268	5.10362	20000	1.30484e+06
4	6.81182	13.5985	0	1.25531e+06
5	13.9208	23.0724	-20000	1.22556e+06
6	21.1864	28.3086	-40000	1.21249e+06
7	30.25	32.5974	-60000	1.19919e+06
8	41.7759	30.8512	-80000	1.15818e+06
9	0	0	-100000	0
0	2.26201	-1.13159	80000	1.40164e+06
1	8.15527	-1.50966	60000	1.389e+06
2	12.7932	-4.82135	40000	896596
3	15.5054	-5.54951	20000	875429
4	17.4588	-6.50783	0	853276
5	28.4855	-4.26841	-20000	838147
6	42.8264	-1.91487	-40000	814724
7	58.8892	0.343233	-60000	799646
8	83.062	-3.05604	-80000	783371
9	0	0	-100000	0
0	2.68833	-0.823386	80000	1.40373e+06
1	7.24763	0.996319	60000	1.39e+06
2	12.4164	5.32305	40000	1.36354e+06
3	13.5912	8.67658	20000	1.34082e+06
4	15.381	11.4014	0	1.25332e+06
5	24.9941	17.0295	-20000	1.2375e+06
6	34.2616	22.6746	-40000	1.21958e+06
7	47.7248	30.2299	-60000	1.15919e+06
8	64.5459	36.6565	-80000	1.1132e+06
9	0	0	-100000	0
0	0.557186	-1.88444	80000	1.38659e+06
1	0.282919	-5.60799	60000	1.36882e+06
2	-4.2797	-9.70911	40000	649026
3	-10.0808	-16.8962	20000	631742
4	-12.9809	-28.0314	0	614346
5	-17.0524	-45.9686	-20000	595266
6	-24.5926	-66.9711	-40000	582639
7	-29.6291	-89.1818	-60000	561057
8	-35.1287	-123.813	-80000	536106
9	0	0	-100000	0
0	-0.613178	-2.40264	80000	1.39424e+06
1	-5.52069	-7.11354	60000	1.36831e+06
2	-11.725	-12.5537	40000	1.35196e+06
3	-15.1404	-18.3624	20000	1.28356e+06
4	-13.5348	-20.0327	0	1.269e+06
5	-7.90502	-19.688	-20000	1.25105e+06
6	-1.10057	-16.7935	-40000	1.23635e+06
7	1.65141	-12.5738	-60000	1.18651e+06
8	3.88201	-5.42097	-80000	896115
9	0	0	-100000	0
0	0.435613	-0.394535	80000	1.38937e+06
1	6.0288	-2.12283	60000	1.35591e+06
2	16.0997	-2.87354	40000	1.34192e+06
3	31.6518	-3.02939	20000	1.29182e+06
4	46.2039	-2.64721	0	1.26873e+06
5	59.4783	-4.04316	-20000	1.24001e+06
6	71.9008	-10.4832	-40000	1.21751e+06
7	80.3433	-19.3419	-60000	1.19656e+06
8	83.7713	-29.9172	-80000	1.15787e+06
9	0	0	-100000	0
0	-0.658042	-1.42385	80000	1.39871e+06
1	-1.78758	-6.58247	60000	1.3616e+06
2	-7.1977	-12.4996	40000	1.3146e+06
3	-14.4887	-16.5717	20000	1.2901e+06
4	-22.1559	-24.0684	0	1.27108e+06
5	-27.1031	-36.4645	-20000	1.23625e+06
6	-33.7525	-48.6789	-40000	1.21568e+06
7	-37.5957	-65.7363	-60000	1.19696e+06
8	-42.4044	-83.9509	-80000	1.18243e+06
9	0	0	-100000	0
0	1.84165	0.423929	80000	1.3978e+06
1	6.21368	1.84712	60000	1.37573e+06
2	7.61207	1.23716	40000	1.35644e+06
3	8.65764	-1.82767	20000	1.31447e+06
4	9.17497	-5.27818	0	1.29888e+06
5	6.00914	-8.7512	-20000	1.26596e+06
6	1.62704	-14.2957	-40000	1.24571e+06
7	-2.24968	-19.2393	-60000	1.20311e+06
8	-6.48544	-25.6818	-80000	1.17198e+06
9	0	0	-100000	0
0	0.583775	-1.85727	80000	1.3663e+06
1	1.79438	-7.38791	60000	1.34647e+06
2	5.26711	-17.6569	40000	1.27863e+06
3	6.87787	-26.0378	20000	1.26018e+06
4	5.12444	-33.1385	0	1.23606e+06
5	2.11109	-43.7814	-20000	1.13593e+06
6	-4.42894	-57.879	-40000	1.11557e+06
7	-9.70433	-72.7151	-60000	1.08372e+06
8	-18.6784	-87.6635	-80000	1.0685e+06
9	0	0	-100000	0
0	0.500071	-0.676099	80000	1.38329e+06
1	2.76469	0.168388	60000	1.31235e+06
2	6.11477	4.77102	40000	1.29459e+06
3	9.49943	10.363	20000	1.27596e+06
4	13.7341	12.8846	0	1.26157e+06
5	18.0529	10.7675	-20000	1.24394e+06
6	25.2447	5.26071	-40000	1.23088e+06
7	37.6172	0.770843	-60000	1.2054e+06
8	52.0891	-3.58293	-80000	1.18773e+06
9	0	0	-100000	0
0	1.30334	2.97968	80000	1.4043e+06
1	1.23206	7.00797	60000	1.38188e+06
2	-2.96665	15.5046	40000	1.36124e+06
3	-9.91195	22.7449	20000	1.32277e+06
4	-15.8875	28.5525	0	1.30648e+06
5	-21.1865	34.2608	-20000	1.27614e+06
6	-29.5813	38.2211	-40000	1.24244e+06
7	-42.3648	42.2847	-60000	1.22409e+06
8	-59.3052	48.9702	-80000	1.18339e+06
9	0	0	-100000	0
0	0.381021	0.515339	80000	1.40376e+06
1	5.2077	0.225288	60000	1.38748e+06
2	9.02481	0.804294	40000	1.27793e+06
3	9.77872	2.41971	20000	1.2583e+06
4	7.28878	7.42841	0	1.24323e+06
5	7.71437	13.2475	-20000	1.21957e+06
6	6.53624	19.2703	-40000	1.19265e+06
7	0.00208852	25.3444	-60000	1.16108e+06
8	-5.90607	33.139	-80000	1.13804e+06
9	0	0	-100000	0
0	-1.39734	0.740579	80000	1.39647e+06
1	-6.22499	1.1424	60000	1.37397e+06
2	-9.77582	4.34463	40000	1.15345e+06
3	-17.0748	9.07161	20000	1.13836e+06
4	-23.323	8.81795	0	1.12047e+06
5	-26.0627	9.05919	-20000	1.10046e+06
6	-27.7233	7.27401	-40000	1.01712e+06
7	-28.8924	6.24503	-60000	995911
8	-28.2728	2.47117	-80000	945919
9	0	0	-100000	0
0	0.420119	-1.9147	80000	1.40249e+06
1	-1.29845	-5.14891	60000	1.36983e+06
2	-4.9793	-6.41167	40000	1.3493e+06
3	-3.65912	-6.15355	20000	1.32409e+06
4	-1.39964	-2.12136	0	1.31123e+06
5	-1.63698	3.88704	-20000	1.28789e+06
6	-4.99314	4.06964	-40000	1.05689e+06
7	-8.73723	4.19374	-60000	1.03911e+06
8	-11.5165	6.13031	-80000	1.02223e+06
9	0	0	-100000	0
0	-1.897	-0.33819	80000	1.40147e+06
1	-6.29538	0.259735	60000	1.3794e+06
2	-11.3373	3.93828	40000	1.36628e+06
3	-12.4724	9.04062	20000	1.35206e+06
4	-13.7395	13.9133	0	1.32322e+06
5	-12.2978	20.3806	-20000	1.29098e+06
6	-9.78308	29.6275	-40000	1.27855e+06
7	-7.37126	34.0859	-60000	1.23608e+06
8	-9.36101	34.6755	-80000	1.22201e+06
9	0	0	-100000	0
0	-2.70968	-1.69761	80000	1.39487e+06
1	-7.04527	-1.65929	60000	1.30255e+06
2	-10.1405	0.720404	40000	1.28183e+06
3	-15.5188	1.9529	20000	858653
4	-23.2567	6.41532	0	841423
5	-33.9594	9.66776	-20000	825921
6	-49.5904	8.81519	-40000	806065
7	-64.702	4.21418	-60000	788583
8	-84.0447	-0.31909	-80000	774310
9	0	0	-100000	0
0	0.825535	-1.49708	80000	1.40296e+06
1	1.6078	-7.56215	60000	1.37636e+06
2	3.0552	-16.3825	40000	1.36263e+06
3	4.62112	-28.8571	20000	1.34094e+06
4	8.7105	-46.1732	0	1.3204e+06
5	13.2427	-63.8953	-20000	1.30715e+06
6	22.1414	-82.6835	-40000	1.2852e+06
7	34.3401	-103.635	-60000	1.26132e+06
8	52.0668	-123.758	-80000	1.22269e+06
9	0	0	-100000	0
0	-0.0935035	-1.40922	80000	1.34894e+06
1	0.492142	1.40024	60000	1.33622e+06
2	0.946235	3.45306	40000	1.3135e+06
3	3.24458	7.98471	20000	1.29009e+06
4	5.14605	11.4069	0	1.27615e+06
5	6.48311	16.0566	-20000	1.26358e+06
6	9.30597	23.0356	-40000	1.20011e+06
7	12.7723	32.3874	-60000	1.18302e+06
8	17.248	42.6028	-80000	1.16543e+06
9	0	0	-100000	0
0	0.512608	0.168222	80000	1.38413e+06
1	1.23257	1.28387	60000	1.36352e+06
2	-1.69106	5.62623	40000	1.32994e+06
3	-6.07333	10.0548	20000	1.29895e+06
4	-9.5215	13.1644	0	1.26646e+06
5	-15.3765	16.3471	-20000	1.2509e+06
6	-23.6616	24.7741	-40000	1.23855e+06
7	-32.3627	34.7296	-60000	1.22326e+06
8	-40.082	44.7537	-80000	1.20448e+06
9	0	0	-100000	0
0	0.417403	0.0107572	80000	1.37217e+06
1	-0.627029	0.514301	60000	1.33952e+06
2	-1.82177	2.38262	40000	1.30352e+06
3	-1.63772	7.73879	20000	1.28619e+06
4	-1.08581	9.7061	0	1.25593e+06
5	-3.51788	11.8647	-20000	1.21971e+06
6	-10.3467	15.1475	-40000	1.18314e+06
7	-14.3543	20.3172	-60000	1.16624e+06
8	-19.5574	24.8516	-80000	1.13348e+06
9	0	0	-100000	0
0	0.0484419	-0.801045	80000	1.3913e+06
1	0.466866	-2.61554	60000	1.37606e+06
2	-2.50287	-4.48343	40000	1.35993e+06
3	-5.81806	-7.71539	20000	1.32014e+06
4	-1.9588	-13.231	0	1.30737e+06
5	1.04143	-18.6289	-20000	1.27948e+06
6	5.37711	-23.2891	-40000	1.25062e+06
7	8.50438	-29.9999	-60000	1.21292e+06
8	10.027	-41.4896	-80000	1.19084e+06
9	0	0	-100000	0
0	1.58753	0.569142	80000	1.36602e+06
1	2.30826	-0.186775	60000	1.34083e+06
2	-0.433607	-3.78724	40000	1.18867e+06
3	-4.16342	-4.93357	20000	1.17335e+06
4	-7.98703	-5.88658	0	1.15455e+06
5	-6.80113	-6.71276	-20000	1.13375e+06
6	-4.81912	-12.1193	-40000	1.10571e+06
7	-2.35751	-23.449	-60000	1.08517e+06
8	-0.410161	-34.6186	-80000	1.04601e+06
9	0	0	-100000	0
0	1.88358	1.7559	80000	1.38519e+06
1	6.26117	2.85268	60000	1.35985e+06
2	7.21468	7.89118	40000	1.34323e+06
3	4.52152	15.1793	20000	1.32673e+06
4	-3.00379	22.886	0	1.28887e+06
5	-10.1175	31.3682	-20000	1.25924e+06
6	-18.8512	40.2461	-40000	1.23048e+06
7	-24.7528	47.0938	-60000	1.2081e+06
8	-27.7924	55.2033	-80000	1.19096e+06
9	0	0	-100000	0
0	-1.41612	-1.50027	80000	1.39911e+06
1	-1.92224	-2.63693	60000	1.36729e+06
2	-2.37447	-0.239298	40000	1.35268e+06
3	-4.33203	-0.745461	20000	1.32503e+06
4	-5.27812	-1.42354	0	1.3066e+06
5	-6.71215	-6.37339	-20000	1.27735e+06
6	-10.1653	-8.19344	-40000	1.24438e+06
7	-11.9105	-12.2968	-60000	1.20825e+06
8	-12.4516	-16.2978	-80000	1.1862e+06
9	0	0	-100000	0
0	1.14239	-1.94048	80000	1.39758e+06
1	-0.649908	-1.40442	60000	1.37194e+06
2	-7.17191	-0.571539	40000	1.33063e+06
3	-13.0673	1.474	20000	1.26919e+06
4	-20.3905	9.34943	0	1.24761e+06
5	-30.3454	18.3261	-20000	1.19457e+06
6	-41.8621	25.9726	-40000	1.17912e+06
7	-51.9013	29.8023	-60000	1.15201e+06
8	-65.0522	32.4631	-80000	1.1359e+06
9	0	0	-100000	0
0	0.580696	0.454843	80000	1.39345e+06
1	0.745195	-0.618555	60000	1.37603e+06
2	-0.276108	-0.599869	40000	1.32426e+06
3	-3.73853	1.66851	20000	1.29532e+06
4	-13.2301	7.98249	0	1.1719e+06
5	-23.7898	17.0165	-20000	1.13514e+06
6	-31.2778	26.584	-40000	1.11363e+06
7	-38.7595	33.5479	-60000	1.09167e+06
8	-46.4664	43.0533	-80000	1.03995e+06
9	0	0	-100000	0
0	-0.0387199	-1.21339	80000	1.40251e+06
1	1.53218	-2.59194	60000	1.38316e+06
2	6.95166	-3.0685	40000	1.32858e+06
3	14.8674	-6.66399	20000	1.31329e+06
4	20.9865	-7.54324	0	1.27307e+06
5	25.5949	-6.46704	-20000	1.25625e+06
6	31.9143	-4.90851	-40000	1.22181e+06
7	42.9781	1.17921	-60000	1.20046e+06
8	57.1545	7.37619	-80000	1.18485e+06
9	0	0	-100000	0
0	2.81447	0.257066	80000	1.38823e+06
1	11.297	1.43725	60000	1.36102e+06
2	19.4269	2.8431	40000	1.3478e+06
3	27.45	4.92633	20000	1.32703e+06
4	38.0492	6.02973	0	1.28367e+06
5	45.8232	5.7399	-20000	1.25132e+06
6	53.4971	5.60037	-40000	1.23208e+06
7	62.3149	4.65241	-60000	1.21661e+06
8	68.037	-1.20441	-80000	1.20464e+06
9	0	0	-100000	0
0	0.537348	0.868465	80000	1.38632e+06
1	0.712007	3.02601	60000	1.31215e+06
2	1.69648	1.23643	40000	1.2845e+06
3	1.86057	0.48322	20000	1.27206e+06
4	2.40579	-0.951626	0	1.25504e+06
5	4.64859	1.77248	-20000	1.24058e+06
6	8.83642	7.05486	-40000	1.2221e+06
7	10.4929	12.5072	-60000	1.20882e+06
8	9.90029	15.4191	-80000	1.1873e+06
9	0	0	-100000	0
0	1.5156	1.1358	80000	1.37705e+06
1	4.14377	1.26541	60000	1.35332e+06
2	6.21304	-0.70515	40000	1.33146e+06
3	5.61618	-3.96461	20000	1.30851e+06
4	2.70776	-8.58685	0	1.29482e+06
5	0.755752	-11.2899	-20000	1.27539e+06
6	1.31762	-14.4166	-40000	1.25273e+06
7	5.43222	-21.016	-60000	1.23063e+06
8	10.3406	-32.8127	-80000	1.16816e+06
9	0	0	-100000	0
0	-0.881088	0.142749	80000	1.38956e+06
1	-2.02223	0.813042	60000	1.3731e+06
2	-7.01045	4.22023	40000	1.35756e+06
3	-12.9309	12.2357	20000	1.30092e+06
4	-18.9987	23.1157	0	1.28528e+06
5	-26.3273	35.6574	-20000	1.26796e+06
6	-31.0384	51.4139	-40000	1.24924e+06
7	-36.8515	70.4316	-60000	1.2089e+06
8	-42.5691	88.0805	-80000	1.18213e+06
9	0	0	-100000	0
0	1.13332	3.24169	80000	1.39087e+06
1	0.289374	10.3741	60000	1.37013e+06
2	2.45619	14.0385	40000	1.34657e+06
3	-0.727056	12.382	20000	1.33029e+06
4	-8.33406	13.6783	0	1.28929e+06
5	-14.9147	18.4258	-20000	1.27292e+06
6	-20.4092	24.683	-40000	1.25698e+06
7	-24.1449	32.3365	-60000	1.24377e+06
8	-31.0238	34.5908	-80000	1.20084e+06
9	0	0	-100000	0
0	-1.26201	3.04326	80000	1.39309e+06
1	-4.52462	8.54016	60000	1.36405e+06
2	-9.92854	13.2611	40000	1.34772e+06
3	-15.4293	17.2659	20000	1.33501e+06
4	-24.9588	23.1908	0	1.31711e+06
5	-30.3203	30.8246	-20000	1.30061e+06
6	-32.4037	39.8751	-40000	1.255e+06
7	-33.6536	52.412	-60000	1.22797e+06
8	-33.8492	71.5899	-80000	1.17443e+06
9	0	0	-100000	0
0	1.57107	-1.73012	80000	1.3809e+06
1	4.49175	-6.76309	60000	1.36163e+06
2	7.59549	-12.958	40000	1.33805e+06
