LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	0.225924	-0.170421	80000	4.72038e+06
1	0.842604	-0.821692	60000	4.66714e+06
2	0.88204	-0.254945	40000	4.62299e+06
3	0.641569	1.26664	20000	4.51966e+06
4	0.315511	3.9455	0	4.48964e+06
5	0.0425619	6.83258	-20000	4.43987e+06
6	-0.639142	9.98839	-40000	4.38543e+06
7	-1.52242	14.1478	-60000	4.32741e+06
8	-3.06205	17.6045	-80000	4.2929e+06
9	0	0	-100000	0
0	-0.795648	0.240868	80000	4.70024e+06
1	-0.60702	-0.122741	60000	4.60868e+06
2	0.298363	0.804965	40000	4.50634e+06
3	0.760594	2.83165	20000	4.43455e+06
4	0.747507	4.39008	0	4.38205e+06
5	-0.42573	5.57881	-20000	4.34471e+06
6	-0.641956	7.06013	-40000	4.30389e+06
7	-0.633914	9.35078	-60000	4.25798e+06
8	0.593728	11.0251	-80000	4.23241e+06
9	0	0	-100000	0
0	0.21584	-0.745548	80000	4.63648e+06
1	0.245294	-2.61156	60000	4.59833e+06
2	0.619835	-5.72941	40000	4.55543e+06
3	0.39429	-9.30683	20000	4.49336e+06
4	-0.703628	-12.9081	0	4.45601e+06
5	-0.783448	-15.8025	-20000	4.40939e+06
6	0.779465	-18.2973	-40000	4.30393e+06
7	1.56144	-20.1164	-60000	4.28365e+06
8	2.14234	-22.6068	-80000	4.26009e+06
9	0	0	-100000	0
0	0.123712	-0.326909	80000	4.70271e+06
1	-0.704932	-0.433069	60000	4.65061e+06
2	-1.69799	-0.279748	40000	4.44845e+06
3	-2.02455	0.900667	20000	4.36617e+06
4	-2.10433	2.98344	0	4.31856e+06
5	-3.1718	3.88353	-20000	4.29847e+06
6	-4.39165	5.25602	-40000	4.25684e+06
7	-6.31447	7.49163	-60000	4.16946e+06
8	-9.14729	9.95882	-80000	4.14982e+06
9	0	0	-100000	0
0	0.403071	-0.134895	80000	4.70862e+06
1	0.499472	-0.98342	60000	4.5517e+06
2	0.592789	-0.760286	40000	4.46992e+06
3	1.2279	0.0398498	20000	4.42913e+06
4	1.45878	1.01729	0	4.39839e+06
5	1.57757	1.85637	-20000	4.37197e+06
6	0.926201	1.93035	-40000	4.26425e+06
7	1.0845	2.84641	-60000	4.24388e+06
8	2.36091	3.91043	-80000	4.22602e+06
9	0	0	-100000	0
0	0.131201	0.219322	80000	4.66603e+06
1	0.831506	0.815961	60000	4.61499e+06
2	1.86622	1.16348	40000	4.57335e+06
3	4.20555	2.60188	20000	4.54664e+06
4	7.52178	3.79647	0	2.51889e+06
5	13.0222	3.0167	-20000	2.47352e+06
6	17.6817	1.45655	-40000	2.42927e+06
7	19.7128	-1.49535	-60000	2.39577e+06
8	20.2897	-3.19712	-80000	2.33674e+06
9	0	0	-100000	0
0	-1.01966	-0.406445	80000	4.72669e+06
1	-2.89743	-0.784742	60000	4.7062e+06
2	-4.44107	-2.50616	40000	4.6395e+06
3	-6.58679	-3.83557	20000	4.47694e+06
4	-8.90751	-5.3899	0	4.40135e+06
5	-9.90686	-6.36966	-20000	4.37415e+06
6	-10.7892	-6.53497	-40000	4.31784e+06
7	-11.5384	-7.85709	-60000	4.28471e+06
8	-12.1391	-9.38686	-80000	4.24944e+06
9	0	0	-100000	0
0	-0.182078	0.0554608	80000	4.70955e+06
1	-1.07156	0.847949	60000	4.66259e+06
2	-2.75909	2.29215	40000	4.62743e+06
3	-4.33402	4.42069	20000	4.37424e+06
4	-4.88618	6.02335	0	4.30977e+06
5	-6.39974	7.70757	-20000	4.27313e+06
6	-7.57295	9.96788	-40000	4.19652e+06
7	-8.36434	11.4478	-60000	4.14617e+06
