LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
4	8813.08	1.26655	50000	7.47061e+06	1.29663e+06	225.553	-7.35733e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.68	0.0292168	90000	7.55076e+06	1.31068e+06	214.107	-7.43624e+06
1	3525.23	0.280871	80000	7.38377e+06	1.2818e+06	227.282	-7.27176e+06
2	5287.97	0.527094	70000	7.34271e+06	1.27463e+06	73.0729	-7.23134e+06
3	7050.7	0.459934	60000	7.31184e+06	1.26937e+06	18.8425	-7.20092e+06
4	8813.61	0.626895	50000	7.26537e+06	1.26139e+06	174.361	-7.15514e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.89	-0.120777	90000	7.50026e+06	1.30218e+06	-190.327	-7.38646e+06
1	3526.02	-0.351178	80000	7.48246e+06	1.29929e+06	-98.5409	-7.36889e+06
2	5289.38	-0.535653	70000	7.46922e+06	1.29731e+06	-126.044	-7.3558e+06
3	7053.06	-0.708226	60000	7.45838e+06	1.29537e+06	-190.635	-7.34514e+06
4	8816.74	-0.93224	50000	7.43447e+06	1.29132e+06	-163.236	-7.32157e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.86	0.110303	90000	7.54637e+06	1.31014e+06	259.116	-7.43188e+06
1	3525.84	0.22705	80000	7.50873e+06	1.30367e+06	-25.104	-7.3948e+06
2	5288.78	0.31592	70000	7.47092e+06	1.29709e+06	104.753	-7.35757e+06
3	7051.83	0.432008	60000	7.45291e+06	1.2941e+06	-84.1037	-7.3398e+06
4	8815	-0.00888905	50000	7.43301e+06	1.29079e+06	-408.625	-7.32018e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.94	-0.158837	90000	7.5428e+06	1.30958e+06	-139.214	-7.42835e+06
1	3525.91	-0.28688	80000	7.5354e+06	1.30836e+06	65.9659	-7.42106e+06
2	5288.91	-0.269757	70000	7.43301e+06	1.2906e+06	-118.059	-7.32022e+06
3	7052.2	-0.476177	60000	7.38734e+06	1.28289e+06	-157.764	-7.27521e+06
4	8815.34	-0.72184	50000	7.37103e+06	1.27975e+06	-249.047	-7.2592e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.78	0.0212462	90000	7.55231e+06	1.31114e+06	-28.8539	-7.43773e+06
1	3525.58	-0.0544925	80000	7.47909e+06	1.29844e+06	7.45025	-7.36563e+06
2	5288.39	0.104055	70000	7.43484e+06	1.29067e+06	209.092	-7.32206e+06
3	7051.18	0.543885	60000	7.42593e+06	1.28908e+06	234.371	-7.31329e+06
4	8813.96	0.697291	50000	7.39333e+06	1.28352e+06	-12.6233	-7.28118e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
