LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
1	76.4992	-69.3319	60000	61460
2	107.001	-90.3784	40000	46248.4
3	180.089	32.5105	20000	30352.8
4	235.676	250.429	0	20125.6
5	403.041	370.251	-20000	10038.4
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	46.9881	29.1721	80000	72084.1
1	176.48	152.557	60000	59667.6
2	279.086	285.394	40000	47530.2
3	403.818	320.327	20000	34120.3
4	673.999	161.543	0	18555.5
5	795.705	115.927	-20000	7744.16
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	11.9598	13.0857	80000	73051.5
1	0.635738	43.9306	60000	29505.4
2	-65.8575	231.051	40000	17968
3	-214.931	318.399	20000	6663.16
4	0	0	0	0
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	48.8093	-0.0996164	80000	75308.2
1	132.62	-49.3319	60000	64215.6
2	179.416	-70.0306	40000	52513.4
3	135.07	-193.525	20000	31509.3
4	69.5929	-466.123	0	19155.9
5	114.706	-734.599	-20000	8681.87
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-17.3457	-16.8646	80000	75860.1
1	-40.2742	-102.066	60000	62178.1
2	4.16269	-296.253	40000	50861
3	-10.096	-588.362	20000	39699.3
4	3.22197	-908.164	0	28480.3
5	168.184	-1486.46	-20000	13489.7
6	561.944	-1779.97	-40000	2739.5
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-18.6519	8.64743	80000	75505.1
1	-55.2137	85.7347	60000	63885.5
2	24.2739	273.93	40000	52103.2
3	144.576	522.934	20000	35740.2
4	341.567	736.164	0	24746
5	560.75	795.422	-20000	13715.5
6	549.811	1262.46	-40000	2583.25
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	22.6645	-29.731	80000	75462.8
1	49.9419	-97.5606	60000	64039.1
2	91.9274	-134.559	40000	48875.7
3	201.38	-77.6743	20000	38959.7
4	372.473	-25.5728	0	28268.8
5	779.097	82.7352	-20000	12226.5
6	1180.35	-4.41389	-40000	1251.84
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	23.5124	49.1801	80000	72052.7
1	69.5326	136.631	60000	57581.4
2	59.8809	332.267	40000	46539.9
3	-18.6395	592.533	20000	35341.6
4	-53.4824	919.346	0	13421.5
5	188.406	1301.45	-20000	2309.26
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	27.0252	-17.963	80000	75286.7
1	100.014	-10.9524	60000	61504.5
2	295.727	7.54517	40000	49870
3	564.077	-4.84762	20000	38969.6
4	846.142	104.045	0	27091
5	1222.72	213.623	-20000	11983.1
6	1133.83	-116.02	-40000	869
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-22.973	11.4178	80000	70030.4
1	-124.111	-34.8043	60000	56277.6
2	-269.905	-14.5508	40000	41714
3	-393.686	39.1601	20000	29152.5
4	-451.5	211.33	0	15195.3
5	-514.88	381.106	-20000	4287.08
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-2.59424	34.2277	80000	73037.1
1	-33.6755	90.3363	60000	60852.8
2	-37.7791	187.126	40000	49201.5
3	-45.7804	332.676	20000	37629.1
4	110.296	514.714	0	25670.1
5	248.41	654.605	-20000	14871.6
6	270.949	433.627	-40000	3863.39
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-12.0832	-25.131	80000	76359.9
1	2.14194	-59.4563	60000	61268.1
2	63.8329	-53.2982	40000	50935.5
3	169.222	-31.6104	20000	40098.6
4	139.369	126.958	0	28132.7
5	75.5167	262.68	-20000	16648.8
6	90.6498	502.57	-40000	5452.02
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	10.5113	-21.2369	80000	75136.2
1	35.1835	-26.5772	60000	63258.2
2	7.54425	-43.8666	40000	51722.6
3	-108.594	-156.901	20000	35081.3
4	-279.38	-68.6061	0	22983.8
5	-223.784	151.848	-20000	10295.2
6	6.19066	700.996	-40000	204.289
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-34.3127	-16.5974	80000	75900.6
