LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	1762.62	0.156883	90000	6.81064e+06	1.18219e+06	206.193	-6.70736e+06
1	3525.06	0.391095	80000	6.79039e+06	1.17861e+06	252.862	-6.68743e+06
2	5287.62	0.68117	70000	6.76993e+06	1.1752e+06	106.189	-6.66725e+06
3	7050.34	0.968479	60000	6.74337e+06	1.17062e+06	250.123	-6.64109e+06
4	8813.33	1.26864	50000	6.61745e+06	1.14892e+06	139.505	-6.51705e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.87	0.113904	90000	6.87253e+06	1.19315e+06	101.371	-6.76827e+06
1	3525.67	0.253138	80000	6.75715e+06	1.17317e+06	141.609	-6.65464e+06
2	5288.57	0.2249	70000	6.74046e+06	1.17021e+06	-59.7252	-6.63821e+06
3	7051.49	0.0424583	60000	6.63505e+06	1.15211e+06	-171.183	-6.53436e+06
4	8814.53	-0.336374	50000	6.61104e+06	1.14774e+06	-445.671	-6.51076e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.85	-0.146636	90000	6.76952e+06	1.17531e+06	-187.689	-6.66682e+06
1	3525.86	-0.544816	80000	6.73847e+06	1.17008e+06	-323.561	-6.63621e+06
2	5289.22	-0.936646	70000	6.70118e+06	1.16377e+06	-242.616	-6.59946e+06
3	7052.64	-1.34838	60000	6.65969e+06	1.15643e+06	-190.319	-6.55862e+06
4	8815.74	-1.68742	50000	6.64035e+06	1.15298e+06	-160.562	-6.53959e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.86	-0.068137	90000	6.62894e+06	1.15088e+06	-99.8836	-6.52838e+06
1	3525.65	-0.358703	80000	6.61442e+06	1.14831e+06	-249.427	-6.51409e+06
2	5288.46	-0.626324	70000	6.59334e+06	1.14469e+06	-196.154	-6.49332e+06
3	7051.5	-0.799381	60000	6.56065e+06	1.13919e+06	6.91776	-6.4611e+06
4	8814.73	-0.914084	50000	6.55395e+06	1.13803e+06	-15.3599	-6.4545e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.56	0.102226	90000	6.32206e+06	1.09736e+06	248.816	-6.2262e+06
1	3525.07	0.513272	80000	6.18752e+06	1.07399e+06	254.377	-6.09371e+06
2	5287.41	0.885992	70000	6.10144e+06	1.05892e+06	261.548	-6.00895e+06
3	7049.7	1.342	60000	6.08831e+06	1.05665e+06	177.03	-5.99602e+06
4	8811.96	1.88714	50000	6.05596e+06	1.05113e+06	427.936	-5.96415e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.88	0.0523589	90000	6.60499e+06	1.14676e+06	-5.1763	-6.50479e+06
1	3525.72	0.0357988	80000	6.58405e+06	1.14315e+06	10.205	-6.48416e+06
2	5288.87	-0.15002	70000	5.82501e+06	1.01156e+06	-234.152	-5.73662e+06
3	7052.18	-0.478212	60000	5.81726e+06	1.01028e+06	-157.39	-5.72897e+06
4	8815.55	-0.765815	50000	5.77717e+06	1.00331e+06	-137.229	-5.68949e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.88	0.0299786	90000	6.87012e+06	1.19278e+06	64.346	-6.76589e+06
1	3525.82	-0.0654471	80000	6.84191e+06	1.18787e+06	-164.705	-6.73811e+06
2	5288.55	-0.383452	70000	6.8157e+06	1.18302e+06	-243.573	-6.71235e+06
3	7050.91	-0.598214	60000	6.78977e+06	1.17839e+06	-21.1594	-6.68684e+06
4	8812.93	-0.731293	50000	6.70911e+06	1.16418e+06	-93.4815	-6.60744e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.92	0.215074	90000	6.85368e+06	1.18984e+06	187.039	-6.74972e+06
1	3525.51	0.491163	80000	6.83249e+06	1.18591e+06	153.765	-6.72889e+06
2	5287.95	0.920216	70000	6.75962e+06	1.17332e+06	419.043	-6.65712e+06
3	7050.31	1.65323	60000	6.74357e+06	1.17026e+06	534.733	-6.64136e+06
4	8812.39	2.61327	50000	6.69551e+06	1.1619e+06	866.426	-6.59404e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.72	-0.217753	90000	6.84793e+06	1.1888e+06	-243.874	-6.74406e+06
1	3525.52	-0.856384	80000	6.83616e+06	1.18675e+06	-422.282	-6.73247e+06
2	5288.33	-1.75202	70000	6.81184e+06	1.1826e+06	-604.469	-6.7085e+06
3	7051.16	-2.5746	60000	6.75211e+06	1.17208e+06	-561.449	-6.64971e+06
4	8813.71	-3.2933	50000	6.72514e+06	1.16728e+06	-502.487	-6.62317e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
