LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	1762.43	0.127481	90000	4.7425e+06	823044	95.9673	-4.67065e+06
1	3524.58	0.274919	80000	4.68083e+06	812315	80.3181	-4.60991e+06
2	5286.68	0.407352	70000	4.63258e+06	803986	46.0392	-4.56239e+06
3	7048.92	0.482931	60000	4.53466e+06	786997	189.145	-4.46595e+06
4	8811.26	1.11508	50000	4.51822e+06	784319	333.429	-4.44973e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.59	-0.592333	90000	4.74048e+06	822726	-453.972	-4.66865e+06
1	3524.88	-1.72841	80000	4.68671e+06	813556	-566.863	-4.61566e+06
2	5287.61	-3.06641	70000	4.67783e+06	812141	-609.085	-4.60689e+06
3	7050.5	-4.42508	60000	4.66836e+06	810589	-579.531	-4.59755e+06
4	8813.38	-5.63816	50000	4.41795e+06	766978	-520.981	-4.35097e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.82	0.182846	90000	4.72706e+06	820703	198.274	-4.65538e+06
1	3525.86	0.516273	80000	4.70377e+06	816709	157.236	-4.63244e+06
2	5288.84	1.02426	70000	4.63251e+06	804353	251.235	-4.56225e+06
3	7051.98	1.22369	60000	3.83625e+06	666116	-73.3548	-3.77808e+06
4	8815.29	0.926664	50000	3.8236e+06	664117	-6.80736	-3.76559e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.99	0.0647436	90000	4.74135e+06	823213	3.06174	-4.66944e+06
1	3525.74	0.105213	80000	4.71487e+06	818456	49.727	-4.64339e+06
2	5288.41	0.431567	70000	4.69322e+06	814668	227.102	-4.62208e+06
3	7051.09	0.846954	60000	4.68289e+06	812844	171.661	-4.61191e+06
4	8813.49	1.12863	50000	4.67688e+06	811817	-10.2474	-4.60599e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.75	-0.28084	90000	4.72499e+06	820264	-162.898	-4.65335e+06
1	3525.4	-0.467876	80000	4.70503e+06	816856	-57.3648	-4.63368e+06
2	5288.35	-0.894316	70000	4.69711e+06	815455	-232.662	-4.62589e+06
3	7051.2	-1.56284	60000	4.67346e+06	811333	-399.299	-4.6026e+06
4	8814.06	-2.1406	50000	4.58544e+06	796110	-132.955	-4.51591e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1763.05	0.201283	90000	4.70074e+06	816313	80.1608	-4.62943e+06
1	3526.35	0.410564	80000	4.51708e+06	784356	51.5988	-4.44857e+06
2	5289.54	0.848533	70000	4.4843e+06	778706	207.39	-4.41628e+06
3	7052.92	1.15479	60000	4.47277e+06	776821	38.7197	-4.4049e+06
4	8816.28	1.27351	50000	4.45886e+06	774104	99.8302	-4.39125e+06
5	0	0	40000	0	0	0	0
