LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	-1.22762	0.269841	80000	1.509e+06
1	-0.588408	2.55901	60000	1.44398e+06
2	1.57972	7.00626	40000	1.42652e+06
3	8.89501	12.1419	20000	1.41165e+06
4	16.1991	21.0589	0	1.11012e+06
5	20.9664	30.2164	-20000	1.09625e+06
6	32.8469	40.6004	-40000	1.07751e+06
7	47.7068	53.6678	-60000	1.06219e+06
8	61.3187	68.7955	-80000	1.0487e+06
9	79.0764	83.9269	-100000	1.0328e+06
0	-0.523509	-0.49431	80000	1.48035e+06
1	0.158594	-2.1317	60000	1.45848e+06
2	0.27132	-1.33789	40000	1.44417e+06
3	-1.68064	-0.742626	20000	1.4194e+06
4	-3.93416	0.882663	0	1.40242e+06
5	-7.05965	-0.956898	-20000	1.38207e+06
6	-8.48971	-3.66933	-40000	1.22274e+06
7	-9.54569	-6.51965	-60000	1.19442e+06
8	-14.1603	-7.32064	-80000	1.1642e+06
9	-21.5713	-10.8635	-100000	1.14567e+06
0	-0.815461	-3.13849	80000	1.53838e+06
1	-0.482742	-5.07537	60000	1.51619e+06
2	1.75661	-7.1336	40000	1.4953e+06
3	5.79742	-10.385	20000	1.4508e+06
4	9.21307	-16.0879	0	1.43631e+06
5	12.8558	-23.4194	-20000	1.39769e+06
6	17.4606	-29.8985	-40000	1.38443e+06
7	23.3808	-34.0036	-60000	1.36714e+06
8	35.4872	-34.2635	-80000	1.35029e+06
9	47.067	-28.9985	-100000	1.33538e+06
0	-1.33292	-1.06666	80000	1.53374e+06
1	-3.52189	0.0909398	60000	1.51842e+06
2	-8.1628	1.10181	40000	1.495e+06
3	-9.47291	3.55823	20000	1.46795e+06
4	-11.7607	2.91595	0	1.45031e+06
5	-12.8076	0.287515	-20000	1.43446e+06
6	-19.4307	-2.82642	-40000	1.38794e+06
7	-29.2747	-6.93299	-60000	1.36888e+06
8	-39.3935	-15.1392	-80000	1.30986e+06
9	-47.1474	-23.8021	-100000	1.28621e+06
0	1.08185	1.08834	80000	1.53938e+06
1	4.21129	1.31716	60000	1.49677e+06
2	6.9512	0.667962	40000	1.46626e+06
3	9.72573	0.961676	20000	1.44963e+06
4	12.5362	4.69023	0	1.42203e+06
5	13.8934	14.4317	-20000	1.39775e+06
6	15.5277	26.6297	-40000	1.36183e+06
7	17.7782	40.3224	-60000	1.341e+06
8	22.5003	53.4398	-80000	1.32432e+06
9	24.7238	63.896	-100000	1.28889e+06
0	2.49784	-0.594558	80000	1.53894e+06
1	7.44805	-2.92158	60000	1.51772e+06
2	13.435	-3.86135	40000	1.49485e+06
3	21.5866	-3.77029	20000	1.42143e+06
4	26.5344	-2.74918	0	1.3984e+06
5	29.852	2.19323	-20000	1.3689e+06
6	32.7568	10.9768	-40000	1.34531e+06
7	37.3657	18.7955	-60000	1.33088e+06
8	44.453	30.1616	-80000	1.31137e+06
9	54.1634	44.6153	-100000	1.28577e+06
0	1.70509	2.06574	80000	1.33491e+06
1	4.32264	8.04852	60000	1.31824e+06
2	7.03457	15.7476	40000	1.22429e+06
3	10.4534	22.7076	20000	1.18969e+06
4	15.5521	23.4098	0	1.13062e+06
5	26.2547	26.4791	-20000	1.1127e+06
6	36.0371	32.5551	-40000	1.09476e+06
7	42.2749	44.1054	-60000	1.06256e+06
8	45.2839	58.011	-80000	1.04422e+06
9	47.7544	73.5777	-100000	1.02494e+06
0	1.89284	-0.802649	80000	1.54081e+06
1	3.93151	0.666932	60000	1.52131e+06
2	3.20322	1.31561	40000	1.47528e+06
3	-1.61914	4.57661	20000	1.45552e+06
4	-9.43612	8.40686	0	1.43846e+06
