LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	1.28907	-6.05318	80000	369364
1	0.157179	-3.63434	60000	356580
2	-8.34931	8.79972	40000	339478
3	-30.5201	25.3932	20000	313642
4	-49.2591	54.755	0	299910
5	-58.2124	83.2216	-20000	284347
6	-62.6004	91.952	-40000	270935
7	-51.2595	88.5349	-60000	259025
8	-44.1801	86.4747	-80000	245880
9	-43.1934	77.571	-100000	234676
0	2.00893	9.4053	80000	372041
1	18.9911	43.4185	60000	348964
2	41.0294	88.0355	40000	337680
3	59.9298	151.59	20000	323784
4	60.0326	208.658	0	302934
5	56.0005	262.508	-20000	253192
6	30.5928	319.14	-40000	232348
7	-4.54139	379.193	-60000	211723
8	-51.9752	429.789	-80000	193086
9	-120.592	450.703	-100000	151964
0	1.20957	7.88047	80000	349079
1	-3.0163	25.3862	60000	283600
2	4.28303	52.1871	40000	270080
3	21.5745	79.5452	20000	252591
4	51.0655	110.736	0	239412
5	83.0996	136.548	-20000	223129
6	90.8523	123.353	-40000	209558
7	92.9385	112.104	-60000	196953
8	100.768	81.5676	-80000	177847
9	95.6535	39.983	-100000	162712
0	17.0127	13.1704	80000	373828
1	52.6898	39.0201	60000	360271
2	99.8633	62.5134	40000	343696
3	155.823	87.9349	20000	328727
4	212.19	115.4	0	315490
5	257.842	141.741	-20000	301955
6	296.082	159.419	-40000	289994
7	330.286	180.128	-60000	264902
8	360.447	209.98	-80000	252438
9	378.625	236.327	-100000	237840
0	-2.92645	-1.39235	80000	372664
1	-15.6599	3.47039	60000	358501
2	-33.6739	14.969	40000	344480
3	-34.9069	25.274	20000	330645
4	-39.1342	35.4625	0	316098
5	-46.7191	48.9192	-20000	302605
6	-57.3354	57.1496	-40000	290177
7	-92.9246	44.2885	-60000	275027
8	-134.512	14.5119	-80000	261055
9	-173.209	-29.3375	-100000	246213
0	5.47595	7.00155	80000	352772
1	22.0178	13.4341	60000	338243
2	52.6725	33.8606	40000	316945
3	101.075	32.6648	20000	301648
4	155.99	23.4249	0	286208
5	218.411	16.3728	-20000	274688
6	286.527	24.9016	-40000	259007
7	360.461	46.8986	-60000	242041
8	431.084	66.5895	-80000	227546
9	486.903	119.343	-100000	110157
0	7.0856	-11.9011	80000	369824
1	17.445	-28.7048	60000	357937
2	25.9808	-51.5536	40000	332024
3	46.8601	-73.6534	20000	317659
4	86.5548	-108.77	0	299457
5	127.161	-164.092	-20000	286783
6	168.288	-234.743	-40000	275228
7	206.858	-308.357	-60000	260926
8	244.764	-377.001	-80000	245734
9	264.003	-411.74	-100000	230586
0	4.01264	3.19416	80000	373748
1	3.63168	-1.51776	60000	360489
2	-2.52926	-19.6582	40000	345444
3	-2.5139	-36.5344	20000	332533
4	11.7555	-64.2477	0	320875
5	19.4729	-122.365	-20000	232164
6	27.5936	-205.543	-40000	220305
7	47.5862	-284.436	-60000	208809
8	67.6725	-372.868	-80000	196661
9	100.026	-472.012	-100000	181070
0	7.3762	-12.9179	80000	371118
1	34.1267	-39.5692	60000	360042
2	67.7599	-69.2692	40000	344343
3	105.566	-91.5921	20000	332218
4	136.78	-104.158	0	319152
5	170.145	-124.219	-20000	304868
6	205.886	-149.516	-40000	287468
7	239.737	-183.044	-60000	275944
8	290.779	-223.522	-80000	263341
9	352.622	-257.415	-100000	246310
0	-2.57737	6.8164	80000	371421
1	0.436156	13.0506	60000	350362
2	18.9834	20.6665	40000	337227
3	42.4281	14.0794	20000	95235.6
4	-14.3494	-0.622424	0	65957.9
5	-98.1724	-58.3165	-20000	54652.7
6	-300.815	-140.256	-40000	42546.4
7	-590.548	-113.171	-60000	30465.5
8	-994.576	-20.0524	-80000	17759.8
9	-1823.14	360.994	-100000	6008.1
0	8.44128	0.393882	80000	373501
1	27.5834	3.29096	60000	359119
2	51.3682	-3.25347	40000	338185
3	75.3296	-17.3575	20000	325038
4	91.2602	-30.1404	0	310520
5	113.611	-39.9853	-20000	297500
6	132.32	-45.0658	-40000	285715
7	129.978	-47.4632	-60000	266525
8	115.209	-46.5217	-80000	255622
9	93.082	-45.3425	-100000	221290
0	-0.999943	-3.6455	80000	370025
1	-0.878765	-17.1397	60000	347552
2	4.20285	-33.3814	40000	334954
3	6.78335	-47.2807	20000	322747
4	14.8126	-69.6443	0	309999
5	20.9286	-113.583	-20000	296242
6	30.9299	-160.941	-40000	280223
7	41.4495	-201.163	-60000	268415
8	43.2802	-227.285	-80000	242221
9	51.8069	-271.998	-100000	221692
0	3.62912	-5.53411	80000	366710
1	7.75053	-8.71767	60000	351898
2	0.138427	2.377	40000	308204
3	-18.1932	34.6782	20000	284320
4	-47.01	71.274	0	267796
