LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	-0.212887	-0.0549931	80000	2.01761e+06
1	2.35433	1.60834	60000	1.98439e+06
2	8.50131	3.25411	40000	1.96345e+06
3	16.0087	4.73638	20000	1.9125e+06
4	22.5638	5.40816	0	1.89714e+06
5	27.4563	5.56321	-20000	1.8743e+06
6	31.6816	4.73714	-40000	1.62511e+06
7	37.5521	4.30618	-60000	1.6092e+06
8	44.0602	4.99421	-80000	1.58779e+06
9	50.8528	7.85034	-100000	1.57153e+06
0	-0.486023	1.16692	80000	2.02058e+06
1	-0.0903565	1.07675	60000	2.0034e+06
2	1.83176	-1.4873	40000	1.97391e+06
3	5.29599	-2.395	20000	1.94486e+06
4	9.39392	-2.90255	0	1.92574e+06
5	15.1752	-4.58413	-20000	1.90272e+06
6	24.7189	-9.21177	-40000	1.87888e+06
7	35.3213	-13.128	-60000	1.78018e+06
8	44.5065	-21.564	-80000	1.75735e+06
9	51.4431	-30.7297	-100000	1.73015e+06
0	0.0263254	0.563223	80000	2.02272e+06
1	1.60456	2.04616	60000	1.99614e+06
2	5.16161	5.30606	40000	1.97794e+06
3	7.39501	11.1127	20000	1.94987e+06
4	8.29304	17.6192	0	1.89805e+06
5	8.88182	25.6197	-20000	1.84734e+06
6	10.9021	34.9213	-40000	1.82764e+06
7	13.752	44.7633	-60000	1.80905e+06
8	17.6108	56.3976	-80000	1.78987e+06
9	21.0233	68.0722	-100000	1.76843e+06
0	0.511848	-0.727423	80000	2.03693e+06
1	0.258269	-3.73597	60000	2.00047e+06
2	0.893163	-11.0481	40000	1.90074e+06
3	1.76999	-20.3915	20000	1.87881e+06
4	2.19335	-29.1433	0	1.86507e+06
5	6.33562	-36.9608	-20000	1.76109e+06
6	8.25062	-44.5556	-40000	1.74048e+06
7	10.641	-54.3358	-60000	1.7089e+06
8	15.8578	-65.1538	-80000	1.68646e+06
9	22.8023	-73.128	-100000	1.65452e+06
0	2.31683	1.09997	80000	2.02719e+06
1	5.46574	1.24514	60000	1.76379e+06
2	9.31934	-1.08696	40000	1.7511e+06
3	14.5236	-3.80919	20000	1.73554e+06
4	19.8407	-8.00361	0	1.69179e+06
5	29.1529	-13.3205	-20000	1.66317e+06
6	38.2468	-21.1205	-40000	1.57832e+06
7	47.2859	-28.3656	-60000	1.55296e+06
8	59.6492	-35.7458	-80000	1.52324e+06
9	73.7112	-44.5176	-100000	1.50957e+06
0	-2.08467	-0.959434	80000	2.03169e+06
1	-5.44809	-4.07283	60000	2.01123e+06
2	-9.16151	-6.27118	40000	1.98199e+06
3	-15.5232	-7.1042	20000	1.89619e+06
4	-23.1434	-5.18097	0	1.864e+06
5	-28.3031	-2.79672	-20000	1.84278e+06
6	-34.5224	0.605862	-40000	1.7114e+06
7	-40.6513	7.83065	-60000	1.69654e+06
8	-47.1326	17.08	-80000	1.67296e+06
9	-52.7381	26.7934	-100000	1.65053e+06
0	1.3642	-1.13349	80000	2.0338e+06
1	6.56064	-4.83161	60000	2.00681e+06
2	14.6793	-11.4089	40000	1.99048e+06
3	22.2558	-20.4945	20000	1.95647e+06
4	28.8239	-30.3263	0	1.9384e+06
5	34.8487	-38.4695	-20000	1.92228e+06
6	39.6701	-45.2956	-40000	1.80351e+06
7	43.8549	-53.2347	-60000	1.76392e+06
8	49.3967	-62.4599	-80000	1.65298e+06
9	53.7492	-72.7355	-100000	1.6332e+06
0	-0.225646	1.06598	80000	2.01554e+06
1	-1.06003	1.08178	60000	1.97386e+06
2	2.005	1.04599	40000	1.95557e+06
3	6.26749	2.11759	20000	1.92695e+06
4	11.7903	4.96543	0	1.89769e+06
5	15.9993	10.4991	-20000	1.86741e+06
6	22.2208	14.9565	-40000	1.81644e+06
7	28.73	20.6478	-60000	1.80167e+06
8	33.3614	24.5399	-80000	1.77028e+06
9	35.207	29.5879	-100000	1.75365e+06
0	-0.230899	1.59542	80000	2.02839e+06
1	0.309063	2.27661	60000	1.93711e+06
2	2.0292	4.35456	40000	1.90987e+06
3	0.0448147	7.73647	20000	1.85285e+06
4	-0.997258	9.21673	0	1.69877e+06
5	-1.89896	8.96206	-20000	1.67701e+06
6	-5.61718	8.8013	-40000	1.60258e+06
7	-11.8444	8.18579	-60000	1.49758e+06
8	-17.6143	7.84595	-80000	1.46496e+06
9	-24.6604	8.11263	-100000	1.44853e+06
0	0.125586	1.1104	80000	2.02891e+06
1	-0.642819	2.30247	60000	1.94964e+06
2	-1.51099	2.10907	40000	1.93287e+06
3	-1.40327	3.34917	20000	1.91724e+06
4	-1.82687	4.29829	0	1.87979e+06
5	-1.9072	7.35829	-20000	1.82656e+06
6	-0.746119	10.9992	-40000	1.78632e+06
7	-1.22272	13.7714	-60000	1.72586e+06
8	-3.35059	20.2304	-80000	1.68595e+06
9	-6.18767	32.2067	-100000	1.66649e+06
0	-0.427141	-0.334559	80000	1.99901e+06
1	-0.64732	-0.355403	60000	1.98166e+06
2	2.49901	-2.7739	40000	1.95269e+06
3	6.27669	-3.95082	20000	1.77837e+06
4	9.87354	-6.22239	0	1.75878e+06
5	13.9288	-7.5984	-20000	1.73732e+06
6	18.5102	-9.67337	-40000	1.7065e+06
7	21.7223	-13.9022	-60000	1.69201e+06
8	25.5129	-21.3213	-80000	1.67014e+06
9	25.7974	-27.4198	-100000	1.64657e+06
0	0.0145898	0.123473	80000	2.01349e+06
1	2.3666	-0.330009	60000	1.96947e+06
2	7.35952	2.47814	40000	1.95458e+06
3	12.7983	8.08488	20000	1.93781e+06
4	19.5082	15.0876	0	1.92151e+06
5	24.8235	22.7793	-20000	1.88882e+06
6	30.9217	31.3047	-40000	1.85846e+06
7	36.5696	39.0595	-60000	1.83666e+06
8	42.3149	46.2185	-80000	1.80268e+06
9	47.7568	51.5117	-100000	1.78823e+06
0	0.368468	-2.40339	80000	2.0058e+06
1	1.49293	-2.71787	60000	1.97863e+06
2	2.15762	0.799396	40000	1.95567e+06
3	2.13091	4.6988	20000	1.93832e+06
4	0.864412	8.26867	0	1.92554e+06
5	1.19363	11.0006	-20000	1.87533e+06
6	2.06998	15.7636	-40000	1.84872e+06
7	0.621743	22.7745	-60000	1.81266e+06
8	-0.329433	31.1156	-80000	1.71247e+06
9	0.26709	43.1108	-100000	1.68901e+06
0	-0.422259	-1.15011	80000	1.98941e+06
1	-0.873119	-0.48967	60000	1.95783e+06
2	1.12883	2.06724	40000	1.92809e+06
3	4.76411	4.50562	20000	1.91203e+06
4	6.84801	5.35075	0	1.8974e+06
5	8.88492	5.82033	-20000	1.87688e+06
6	11.8443	5.44218	-40000	1.86236e+06
7	14.7617	6.67987	-60000	1.83177e+06
8	18.5834	10.7227	-80000	1.7629e+06
9	0	0	-100000	0
0	-0.449521	1.22143	80000	2.02639e+06
1	-0.829973	5.12335	60000	2.00447e+06
2	-0.46372	9.28136	40000	1.98953e+06
3	0.324804	14.9408	20000	1.95253e+06
4	4.2463	19.7658	0	1.93567e+06
5	9.93186	24.8198	-20000	1.89965e+06
6	19.1822	30.3889	-40000	1.84678e+06
7	30.9056	35.0748	-60000	1.80982e+06
8	46.9142	39.8292	-80000	1.79525e+06
9	63.6261	44.8012	-100000	1.77632e+06
0	-1.49038	-0.863572	80000	2.03321e+06
1	-4.79293	1.01006	60000	2.01399e+06
2	-10.8971	7.12894	40000	2.00177e+06
3	-14.2203	15.4107	20000	1.98338e+06
4	-16.087	25.1485	0	1.94328e+06
5	-18.5908	36.0875	-20000	1.91797e+06
6	-19.0438	46.9901	-40000	1.89973e+06
7	-17.5032	59.6666	-60000	1.85594e+06
8	-16.6954	73.7722	-80000	1.83311e+06
9	-14.844	87.9466	-100000	1.81123e+06
0	-0.729763	1.54449	80000	2.02295e+06
1	-1.61422	4.05995	60000	1.98961e+06
2	-3.01469	4.81116	40000	1.96743e+06
3	-6.17298	5.12203	20000	1.95373e+06
4	-9.7459	4.50505	0	1.92899e+06
5	-16.6533	2.66959	-20000	1.74456e+06
6	-23.3871	4.41067	-40000	1.72827e+06
7	-31.3462	7.7878	-60000	1.70912e+06
8	-38.0104	12.7872	-80000	1.68809e+06
9	-45.1065	14.9025	-100000	1.67301e+06
0	-1.31419	-1.7167	80000	2.0124e+06
1	-3.54919	-4.44749	60000	1.99344e+06
2	-6.94707	-8.87627	40000	1.95731e+06
3	-14.6565	-15.1417	20000	1.93061e+06
4	-23.2923	-20.3369	0	1.90602e+06
5	-32.8808	-24.5994	-20000	1.85458e+06
6	-43.2203	-29.6836	-40000	1.82591e+06
7	-53.9027	-32.2945	-60000	1.79199e+06
8	-63.1353	-34.4849	-80000	1.7731e+06
9	-71.0317	-34.7534	-100000	1.75612e+06
0	0.313051	1.31583	80000	2.04459e+06
1	2.0161	2.4822	60000	2.00466e+06
2	3.47452	2.62248	40000	1.99179e+06
3	4.61734	5.41839	20000	1.96632e+06
4	5.63955	7.28214	0	1.9445e+06
5	8.15857	7.47535	-20000	1.88333e+06
6	12.9803	8.97012	-40000	1.62389e+06
7	15.0795	8.54346	-60000	1.60951e+06
8	16.0115	7.05163	-80000	1.58324e+06
9	18.5695	6.21542	-100000	1.55709e+06
0	-1.06352	-0.8131	80000	1.97536e+06
1	-3.04581	-4.11432	60000	1.95538e+06
2	-5.11172	-5.86934	40000	1.93013e+06
3	-8.76997	-6.21957	20000	1.91696e+06
4	-14.0543	-5.33392	0	1.88724e+06
5	-16.9577	-1.48763	-20000	1.8712e+06
6	-20.874	2.68994	-40000	1.84744e+06
7	-23.8059	4.34191	-60000	1.80451e+06
8	-25.6045	7.3268	-80000	1.77896e+06
9	-25.259	9.16313	-100000	1.75802e+06
0	0.338034	-2.39105	80000	2.03811e+06
1	2.90797	-6.23874	60000	2.00552e+06
2	5.57794	-9.89402	40000	1.9724e+06
3	7.68807	-14.0253	20000	1.95911e+06
4	12.0066	-18.4397	0	1.92512e+06
5	16.8285	-22.9078	-20000	1.88833e+06
6	18.9449	-27.8262	-40000	1.8575e+06
7	21.9152	-33.1475	-60000	1.84294e+06
8	22.1442	-38.9855	-80000	1.81857e+06
9	21.6817	-43.4952	-100000	1.80284e+06
0	-1.56202	-0.255084	80000	2.04331e+06
1	-7.53267	-0.380139	60000	2.02471e+06
2	-13.6549	-0.308381	40000	1.99084e+06
3	-18.2529	2.81023	20000	1.95354e+06
4	-18.2606	7.09059	0	1.90741e+06
5	-16.4166	9.87637	-20000	1.81887e+06
6	-13.2226	10.4658	-40000	1.80452e+06
7	-9.70303	9.83931	-60000	1.77205e+06
8	-4.63943	8.69082	-80000	1.74316e+06
9	0.535994	6.22602	-100000	1.72713e+06
0	0.218213	-2.26687	80000	2.035e+06
1	-1.04123	-6.38407	60000	2.0135e+06
2	-6.4614	-9.8696	40000	1.93664e+06
3	-11.041	-12.8645	20000	1.91388e+06
4	-16.0705	-12.8427	0	1.89854e+06
5	-20.0172	-10.4221	-20000	1.86749e+06
6	-22.5891	-2.77411	-40000	1.78597e+06
7	-25.9787	7.92981	-60000	1.76987e+06
8	-28.1469	18.8638	-80000	1.73834e+06
9	-29.6643	29.5094	-100000	1.70311e+06
0	-3.3071	0.633917	80000	2.03571e+06
1	-9.60727	-0.388567	60000	1.99237e+06
2	-18.0721	-1.30604	40000	1.97011e+06
3	-30.5394	-2.16347	20000	1.93727e+06
4	-44.1867	-4.24171	0	1.9114e+06
5	-56.5627	-7.65096	-20000	1.88519e+06
6	-67.2813	-11.9345	-40000	1.85582e+06
7	-75.0371	-19.251	-60000	1.83155e+06
8	-81.058	-24.1038	-80000	1.77112e+06
9	-87.5143	-27.6293	-100000	1.73892e+06
0	-0.253314	-0.5929	80000	2.01529e+06
1	0.931972	-2.65441	60000	1.98238e+06
