LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	-0.155454	-13.2436	80000	123813
1	17.0962	-64.0738	60000	112040
2	-1.26964	-79.8444	40000	94481.3
3	-74.0734	-96.4482	20000	82835.3
4	-117.321	-159.354	0	71297.2
5	-103.049	-313.075	-20000	59384.6
6	-22.5833	-487.846	-40000	47304.7
7	35.7982	-564.832	-60000	34660.9
8	142.214	-463.034	-80000	21632.2
9	643.488	-325.313	-100000	8856.54
0	-13.036	-26.8246	80000	84958
1	-44.2152	-92.1741	60000	72513.3
2	-135.532	-105.108	40000	59651.1
3	-293.52	-102.29	20000	48856.1
4	-436.023	-153.776	0	35313.6
5	-523.931	-72.8306	-20000	23218.6
6	-774.207	169.652	-40000	11506.9
7	-1494.31	435.862	-60000	1061.48
8	0	0	-80000	0
9	0	0	-100000	0
0	-8.66046	-2.48712	80000	139435
1	-38.2848	32.8024	60000	127498
2	-57.7767	74.8354	40000	95390.5
3	-76.0798	184.675	20000	82031.6
4	-101.235	298.914	0	70523.3
5	-79.3603	369.315	-20000	58637.7
6	-70.1954	462.404	-40000	47005
7	11.3549	471.648	-60000	35502.1
8	-35.2884	417.386	-80000	24001.9
9	-70.695	520.882	-100000	12631
0	11.8076	-15.6718	80000	133551
1	53.9513	-31.9434	60000	116121
2	149.636	-81.4807	40000	104601
3	267.95	-119.24	20000	85222.7
4	362.275	-116.72	0	73162.9
5	520.655	-42.7736	-20000	49035
6	795.08	-64.1256	-40000	37611.9
7	1165.68	18.6841	-60000	24782.4
8	1578.54	45.2271	-80000	13355.6
9	2117.75	-3.43865	-100000	455.363
0	-6.43438	5.11187	80000	139674
1	-0.149695	13.1915	60000	127713
2	5.74921	2.0773	40000	114618
3	14.6708	-56.1278	20000	102103
4	6.7546	-166.58	0	91544.2
5	11.0334	-250.268	-20000	78555.5
6	31.9068	-258.54	-40000	66725.5
7	71.7349	-279.296	-60000	55137.8
8	230.05	-374.832	-80000	43405.1
9	534.685	-515.379	-100000	30189.1
0	-8.23712	-12.7269	80000	139211
1	-1.8931	-47.6151	60000	126505
2	-40.8221	-89.4871	40000	114592
3	-120.545	-135.062	20000	103711
4	-238.142	-134.597	0	91213.2
5	-356.759	-129.974	-20000	79100.9
6	-486.347	-79.5883	-40000	67749
7	-554.925	-0.42684	-60000	56636.7
8	-597.983	52.6684	-80000	43168.8
9	-619.216	-0.465344	-100000	32436.7
0	19.0668	-4.42584	80000	139752
1	53.5299	-21.5242	60000	104582
2	96.9022	-27.3299	40000	93838.4
3	184.352	-32.3338	20000	82926.5
4	254.719	-50.7154	0	70560
5	346.521	-83.4023	-20000	50990
6	404.9	-28.2904	-40000	37816.1
7	414.85	183.033	-60000	24944.2
8	282.108	319.181	-80000	9195.46
9	0	0	-100000	0
0	6.60124	20.4463	80000	140701
1	29.2689	16.5332	60000	127691
2	48.682	-23.9943	40000	114134
3	42.8328	-32.6108	20000	103760
4	65.6893	-53.0416	0	88353.1
5	76.5818	-105.818	-20000	76896.2
6	80.3225	-189.817	-40000	62552.3
7	71.1571	-340.687	-60000	49555.8
8	65.2721	-434.072	-80000	39004.4
9	123.343	-409.812	-100000	23644.4
0	24.377	11.8502	80000	136700
1	25.1832	-9.71721	60000	116210
2	10.0094	-33.6588	40000	103531
3	-18.5576	-88.5156	20000	91456.3
4	-58.231	-118.61	0	80704.9
5	-53.6977	-139.948	-20000	62173.2
6	-23.6193	-172.587	-40000	49677.4
7	23.3509	-204.185	-60000	36792.1
8	-36.5992	-262.691	-80000	26380
9	-158.622	-430.533	-100000	12327.9
0	6.48015	-45.8906	80000	131626
1	-21.2896	-85.1534	60000	119658
2	-74.9089	-114.101	40000	107490
3	-113.731	-162.617	20000	96217.1
4	-119.529	-244.179	0	84345.1
5	-37.3478	-302.916	-20000	62698.5
6	76.2095	-385.617	-40000	49791.1
7	149.116	-356.333	-60000	37379
8	175.859	-251.39	-80000	26978.4
9	99.5416	24.1017	-100000	10487.7
0	7.11631	-17.2827	80000	139529
1	32.0181	-76.2706	60000	126233
2	59.0001	-135.385	40000	110632
3	104.927	-184.85	20000	97968
4	203.822	-200.755	0	85494.8
5	330.076	-212.396	-20000	70366
6	522.049	-341.677	-40000	58152.5
7	806.196	-552.286	-60000	45652.5
8	1139.22	-809.551	-80000	34322.5
9	1526.17	-1062.94	-100000	23207.9
0	10.5906	39.9798	80000	129258
1	3.41502	78.9708	60000	114362
2	-18.6604	103.204	40000	101998
3	-42.2006	157.746	20000	88253.4
4	-54.5635	192.362	0	77475.9
5	-35.1668	300.669	-20000	65791.1
6	-62.4581	457.522	-40000	54780.1
7	-34.2118	622.463	-60000	40680.9
8	49.732	650.419	-80000	29312.6
9	223.447	657.042	-100000	15251.3
0	25.8098	-7.83331	80000	138187
1	42.5443	-36.1906	60000	126049
2	64.7695	-37.6447	40000	114909
3	104.565	-46.944	20000	101610
4	125.432	-52.2763	0	90360.4
5	131.914	-66.0414	-20000	80046.8
6	124.28	-77.589	-40000	66625.9
7	126.917	-117.75	-60000	44258.9
8	151.409	-191.858	-80000	31998.3
9	360.087	-304.878	-100000	20847.5
0	29.2709	-2.90886	80000	112466
1	19.8563	-22.7686	60000	98322.2
2	37.5416	-51.7423	40000	83157
3	61.4972	-60.4128	20000	72113.3
4	90.5437	-53.2476	0	60575.6
5	71.183	-57.1629	-20000	48207.2
6	53.1713	-33.334	-40000	24806.4
7	127.973	14.9538	-60000	12909
8	-16.5986	-145.442	-80000	1506.48
9	0	0	-100000	0
0	-33.6078	-6.34282	80000	137392
1	-86.3577	-45.3613	60000	119016
2	-128.896	-76.467	40000	106219
3	-174.945	-81.5646	20000	90029.4
4	-255.302	-126.545	0	75974
5	-397.979	-224.596	-20000	47730
6	-522.177	-402.626	-40000	35335.5
7	-547.606	-673.646	-60000	22479.3
8	-374.662	-866.973	-80000	10039.8
9	0	0	-100000	0
0	-18.3819	5.59513	80000	117144
1	-47.5092	31.1849	60000	105351
2	-94.5409	87.1408	40000	90446.9
3	-103.635	145.798	20000	78396.1
4	-12.7999	215.662	0	61660.6
5	66.4563	206.228	-20000	49935.8
6	64.1218	220.842	-40000	38042.5
7	-42.9842	386.216	-60000	26754.1
8	-178.32	520.346	-80000	15765.3
9	45.6621	965.742	-100000	5198.69
0	-7.46571	1.49153	80000	137848
1	11.3107	-35.4968	60000	126666
2	37.5226	-77.9821	40000	109454
3	27.1988	-103.395	20000	98643.1
4	-3.92765	-113.585	0	86793.1
5	-76.7735	-100.414	-20000	74997.3
6	-147.98	-127.519	-40000	62806.5
7	-186.6	-250.736	-60000	50971.6
8	-107.244	-516.619	-80000	38275.4
9	-42.6897	-787.621	-100000	26144
0	-3.05236	2.7521	80000	138777
1	-27.7472	17.9216	60000	125237
2	-105.602	12.5749	40000	113875
3	-153.452	-16.4817	20000	98728.8
4	-214.591	-105.518	0	86227.9
5	-301.36	-220.201	-20000	75634.4
6	-423.781	-355.267	-40000	61163.2
7	-510.043	-504.087	-60000	48123.3
8	-500.831	-716.65	-80000	32670.1
9	-468.645	-840.524	-100000	17002.8
0	20.5301	-3.64225	80000	137231
1	58.107	7.43423	60000	126022
2	108.391	8.23977	40000	113787
3	167.174	34.9405	20000	102627
4	216.67	2.68302	0	90900.4
5	309.256	-71.0994	-20000	74454.3
6	424.542	-270.05	-40000	63418.4
7	544.039	-537.226	-60000	51993.1
8	599.926	-845.452	-80000	41002.4
9	652.077	-1124.14	-100000	28536.1
0	15.8207	-2.58277	80000	138298
1	47.0396	-32.1554	60000	126193
2	83.8679	-74.4605	40000	111309
3	100.757	-97.6077	20000	100155
4	86.5217	-95.6295	0	88210.2
5	46.5963	-121.011	-20000	76813.8
6	23.5229	-125.05	-40000	65230.9
7	-44.3588	-115.301	-60000	54228.4
8	-124.92	-192.838	-80000	42326.2
9	-231.479	-167.039	-100000	31769.8
0	21.6317	-11.5956	80000	130183
1	64.7182	-5.13898	60000	119388
2	90.9934	43.7324	40000	105397
3	131.009	114.661	20000	92180.5
4	194.485	155.344	0	78461.1
5	242.364	201.637	-20000	67552.7
6	349.182	231.508	-40000	52009.4
7	466.968	235.11	-60000	40973.4
8	532.818	261.93	-80000	29776.5
9	406.987	256.296	-100000	15513.1
0	-17.1772	-3.62532	80000	139518
1	-62.0921	-2.15129	60000	127164
2	-122.785	29.8202	40000	115822
3	-148.088	61.4474	20000	102519
4	-178.706	128.854	0	91479
5	-264.937	237.413	-20000	80141.7
6	-459.859	360.481	-40000	66754.1
7	-714.717	515.423	-60000	55719.4
8	-900.029	658.339	-80000	45188.9
9	-1113.19	762.554	-100000	30940
0	17.9998	20.8025	80000	140248
1	64.6244	69.4824	60000	128963
2	141.461	132.168	40000	108113
3	289.686	167.127	20000	96917.1
4	499.259	170.314	0	84571.2
5	635.263	153.459	-20000	72898.6
6	749.15	177.043	-40000	61930
7	771.261	183.559	-60000	49250.3
8	881.95	125.549	-80000	36548.7
9	1003.91	11.005	-100000	21082.5
0	-8.29617	14.5695	80000	140067
1	-33.8114	43.4551	60000	126452
2	-89.2037	87.9667	40000	114431
3	-147.131	123.362	20000	103438
4	-223.571	138.816	0	90813.1
5	-339.476	99.6013	-20000	64860.6
6	-476.078	46.2704	-40000	53788.8
7	-682.694	78.5376	-60000	38696.2
8	-771.821	345.57	-80000	27915.7
9	-898.431	856.214	-100000	16271.9
0	28.9597	-12.3623	80000	136226
1	103.451	-21.3582	60000	119821
2	179.225	-38.6223	40000	103865
3	230.451	-78.418	20000	91638.5
4	221.103	-74.3521	0	79923.7
5	220.461	-41.9075	-20000	67081.5
6	277.674	-68.4934	-40000	54598.7
7	377.524	-105.877	-60000	41852
8	465.207	-189.398	-80000	30342.5
9	352.31	-151.245	-100000	19810.6
0	3.8001	-33.9048	80000	140654
1	8.48085	-77.4802	60000	98937.6
2	1.23499	-128.171	40000	87032.3
3	-3.51968	-190.933	20000	75743.9
4	33.4978	-223.758	0	64941.8
5	31.8378	-134.604	-20000	53867.7
6	9.33199	58.0446	-40000	40846.9
7	-54.3194	295.105	-60000	22581.9
8	-246.698	707.656	-80000	10896.8
9	-550.838	1181.26	-100000	657.929
0	-2.23816	19.1765	80000	133887
1	14.453	31.1034	60000	122308
2	56.1501	65.7102	40000	109808
3	110.318	110.376	20000	98337.2
4	187.173	215.997	0	86242.3
5	320.309	327.211	-20000	73961.1
6	491.038	430.377	-40000	62220
7	625.089	453.077	-60000	50681.4
8	707.282	405.957	-80000	39892.5
9	652.384	428.541	-100000	28688.1
0	-4.62909	-23.7293	80000	140401
1	-0.834144	-68.9196	60000	128571
2	-39.3966	-117.305	40000	117039
