LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	0.0155841	-0.760678	90000	1.68589e+06	47.5108	-157.258	-1.68599e+06
1	0.989598	-0.81239	80000	1.67933e+06	178.122	80.8277	-1.67943e+06
2	1.54915	-0.30157	70000	1.67307e+06	33.4213	61.3278	-1.67318e+06
3	0.952846	0.410637	60000	1.65556e+06	-69.9082	205.022	-1.65567e+06
4	0.397206	2.04663	50000	1.63473e+06	-145.604	269.134	-1.63484e+06
5	-0.435996	3.85971	40000	1.61523e+06	-214.214	292.371	-1.61534e+06
6	-2.63379	5.39851	30000	1.54792e+06	-369.401	159.638	-1.54803e+06
7	-4.61654	5.47509	20000	1.53614e+06	-434.49	-32.3962	-1.53625e+06
8	-7.27752	5.28915	10000	1.5282e+06	-446.267	-108.306	-1.52831e+06
9	-10.469	3.72592	0	1.52149e+06	-518.635	-311.894	-1.52159e+06
10	-13.3091	2.23766	-10000	1.48447e+06	-385.644	-156.697	-1.48458e+06
11	-16.147	0.406762	-20000	1.47133e+06	-313.054	-437.303	-1.47144e+06
12	-18.1083	-1.90319	-30000	1.46229e+06	-354.644	-272.259	-1.4624e+06
13	-20.1136	-3.78474	-40000	1.45003e+06	-223.846	-319.219	-1.45014e+06
14	-22.6688	-6.00077	-50000	1.43501e+06	-342.455	-263.156	-1.43511e+06
15	-24.9191	-8.20042	-60000	1.42626e+06	-337.674	-303.402	-1.42637e+06
16	-26.8439	-10.2368	-70000	1.41502e+06	-64.173	-194.525	-1.41513e+06
17	-27.6029	-11.3952	-80000	1.40786e+06	-193.411	-98.0924	-1.40797e+06
18	-29.7777	-12.9835	-90000	1.39975e+06	-399.96	-293.9	-1.39986e+06
19	0	0	-100000	0	0	0	0
0	-0.141538	0.00890794	90000	1.68849e+06	10.7031	88.6799	-1.6886e+06
1	-0.666127	0.631031	80000	1.67608e+06	-151.209	101.055	-1.67619e+06
2	-1.36985	2.24182	70000	1.66498e+06	-146.552	485.265	-1.66509e+06
3	-2.06576	5.16172	60000	1.65594e+06	-104.539	558.174	-1.65605e+06
4	-2.39576	8.80204	50000	1.6436e+06	13.7528	555.687	-1.64371e+06
5	-2.64396	12.4241	40000	1.62933e+06	-134.894	646.051	-1.62944e+06
6	-3.03455	16.6341	30000	1.5937e+06	26.2505	730.47	-1.59381e+06
7	-3.3407	20.6782	20000	1.58172e+06	-248.965	585.004	-1.58182e+06
8	-5.90239	23.8918	10000	1.57316e+06	-554.027	489.718	-1.57327e+06
9	-9.74067	27.5575	0	1.56613e+06	-740.695	531.886	-1.56624e+06
10	-14.5992	31.3745	-10000	1.55992e+06	-790.751	650.489	-1.56003e+06
11	-20.8243	35.6586	-20000	1.54951e+06	-1029.85	601.758	-1.54962e+06
12	-27.5542	38.5083	-30000	1.52997e+06	-927.757	494.03	-1.53007e+06
13	-32.9678	41.8345	-40000	1.50794e+06	-711.45	425.954	-1.50804e+06
14	-37.7192	44.1796	-50000	1.46728e+06	-686.706	358.01	-1.46739e+06
15	-42.8976	47.0725	-60000	1.45676e+06	-793.57	425.93	-1.45686e+06
16	-47.7578	50.3371	-70000	1.45039e+06	-697.541	426.055	-1.45049e+06
17	-52.7895	52.8986	-80000	1.43436e+06	-702.39	297.246	-1.43447e+06
18	-58.5939	54.4354	-90000	1.41401e+06	-884.098	157.733	-1.41411e+06
19	0	0	-100000	0	0	0	0
0	0.142008	-0.375641	90000	1.43792e+06	-99.2392	-52.2879	-1.43803e+06
1	-1.38302	-1.64987	80000	1.43105e+06	-242.912	-208.98	-1.43116e+06
2	-2.79435	-2.83778	70000	1.42471e+06	-134.681	-202.975	-1.42482e+06
3	-4.73232	-4.38285	60000	1.41749e+06	-336.492	-177.161	-1.4176e+06
4	-7.33677	-5.88403	50000	1.40999e+06	-427.985	-100.67	-1.41009e+06
5	-9.74318	-5.72542	40000	1.39598e+06	-204.33	-109.773	-1.39609e+06
6	-11.0123	-6.47063	30000	1.386e+06	-80.6891	35.5113	-1.38611e+06
7	-11.8027	-6.38714	20000	1.37259e+06	-119.724	46.4809	-1.37269e+06
8	-13.1673	-4.68186	10000	1.3654e+06	-246.662	267.356	-1.36551e+06
