LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	-0.132892	0.949926	90000	258923	-64.477	91.4388	-259029
1	-2.08161	5.74416	80000	251866	49.0728	116.764	-251971
2	2.40888	3.52985	70000	245399	179.963	-209.21	-245504
3	12.4209	-2.18994	60000	238937	338.166	-83.5441	-239042
4	32.1278	-4.33815	50000	233180	542.59	-76.0358	-233285
5	62.0581	-1.84641	40000	226179	711.328	115.324	-226283
6	102.626	-6.60557	30000	150470	673.922	-53.4283	-150574
7	145.997	-7.1929	20000	143846	651.17	-63.9057	-143950
8	190.435	-4.03554	10000	138375	600.761	119.455	-138479
9	229.277	20.6737	0	132357	440.862	442.229	-132461
10	264.855	57.3572	-10000	125532	322.99	514.24	-125636
11	300.321	94.2749	-20000	119772	579.483	357.328	-119876
12	346.44	131.277	-30000	113720	519.733	522.815	-113823
13	381.519	173.576	-40000	108096	413.135	585.701	-108199
14	421.934	215.274	-50000	102157	369.558	345.714	-102261
15	451.071	255.125	-60000	96793.2	280.356	449.977	-96897.4
16	464.329	290.705	-70000	90721.6	-59.6766	152.99	-90827.1
17	462.686	303.423	-80000	83515.5	38.6423	94.9135	-83621
18	452.195	311.444	-90000	75034.8	-112.528	140.108	-75140.2
19	0	0	-100000	0	0	0	0
0	-4.60794	0.820402	90000	260194	-243.577	18.6855	-260300
1	-12.8764	-1.36081	80000	254629	-187.83	-135.935	-254735
2	-22.4875	-1.69765	70000	247988	-227.387	105.513	-248094
3	-26.4391	2.55036	60000	242325	113.834	126.827	-242431
4	-21.5937	7.94408	50000	235812	153.409	80.0788	-235918
5	-19.7189	10.9684	40000	228759	-48.9261	-20.5179	-228865
6	-24.9758	10.0628	30000	223366	-49.4203	-26.9529	-223471
7	-25.0946	11.1465	20000	217495	-73.6131	65.2646	-217601
8	-30.1736	14.3973	10000	212170	-68.582	106.382	-212275
9	-28.7254	23.3925	0	205544	-70.8118	339.279	-205650
10	-26.7483	40.6842	-10000	197479	97.2401	368.182	-197584
11	-19.7646	59.3578	-20000	191414	156.651	563.418	-191519
12	5.43342	86.9686	-30000	186199	595.959	468.294	-186303
13	40.775	114.872	-40000	180522	693.785	429.843	-180626
14	75.5378	145.633	-50000	173785	624.318	612.878	-173889
15	113.781	181.814	-60000	167342	726.27	487.238	-167445
16	155.861	208.438	-70000	157018	759.418	347.718	-157122
17	208.172	229.39	-80000	150155	868.959	366.962	-150257
18	266.871	251.36	-90000	143312	847.855	247.127	-143415
19	0	0	-100000	0	0	0	0
0	1.6747	-2.49224	90000	257228	39.528	-9.24328	-257334
1	4.5972	-1.00172	80000	249074	120.726	57.6229	-249180
2	6.83295	5.36435	70000	236568	-31.2153	239.77	-236674
3	0.286272	21.6453	60000	230907	-167.402	479.282	-231012
4	-5.17467	37.8161	50000	223997	-70.7633	438.298	-224102
5	-8.73902	58.1855	40000	216784	-109.307	343.716	-216890
6	-17.1208	71.6076	30000	207016	-42.223	179.821	-207122
7	-18.8378	86.9072	20000	201983	-142.959	249.447	-202088
8	-19.6896	99.6036	10000	195489	-13.6683	200.932	-195594
9	-8.68149	119.736	0	186630	200.826	428.427	-186736
10	3.58789	135.051	-10000	180771	204.777	306.762	-180876
11	12.7082	155.536	-20000	173190	84.7917	441.888	-173295
12	9.00304	185.361	-30000	166846	-139.407	523.661	-166951
13	-1.03763	213.354	-40000	161378	-101.647	357.721	-161483
14	-9.43205	230.857	-50000	155258	-145.672	240.97	-155363
15	-20.6296	240.6	-60000	149520	-138.515	224.402	-149626
16	-38.5648	261.35	-70000	143701	-313.609	243.887	-143807
17	-55.1175	270.184	-80000	133610	-276.606	9.17598	-133716
18	-69.4101	274.718	-90000	128243	-161.212	145.984	-128349
19	0	0	-100000	0	0	0	0
0	-4.99649	3.18584	90000	259596	-99.2548	273.741	-259702
1	-9.2225	18.4167	80000	253101	-171.639	344.803	-253206
2	-12.8974	33.9246	70000	246780	-75.0868	524.756	-246885
3	-16.2221	58.9434	60000	239581	-104.097	634.474	-239686
4	-21.9929	84.9624	50000	233379	-76.4583	480.2	-233484
5	-25.1892	105.75	40000	225597	-6.33507	551.378	-225702
6	-24.6377	132.494	30000	220206	57.4556	637.767	-220311
7	-23.266	162.979	20000	214533	13.2028	681.539	-214638
8	-30.4863	195.881	10000	208719	-162.945	595.454	-208823
9	-41.4339	221.017	0	202877	-342.766	349.989	-202982
10	-60.6699	233.144	-10000	196516	-178.048	222.95	-196621
11	-69.3333	240.51	-20000	190275	-200.48	256.659	-190380
12	-72.6429	252.559	-30000	183936	15.4173	287.475	-184042
13	-70.3212	267.724	-40000	178283	-90.1798	224.742	-178388
14	-65.2884	271.054	-50000	172073	212.662	-141.717	-172179
15	-59.5623	266.435	-60000	163810	-75.1577	-66.0119	-163916
16	-61.2624	259.559	-70000	157471	-76.6514	-175.178	-157577
17	-63.0454	256.901	-80000	151174	-61.8428	54.3763	-151280
18	-65.5949	251.818	-90000	144730	58.7305	-211.501	-144835
19	0	0	-100000	0	0	0	0
0	2.37607	0.997982	90000	260743	173.744	133.135	-260848
1	11.7224	9.77465	80000	250226	371.833	336.18	-250331
2	31.0807	20.9075	70000	244274	653.738	125.775	-244378
3	57.911	26.3501	60000	237895	633.895	212.343	-237999
4	89.623	28.1283	50000	226807	749.315	-16.6657	-226911
5	124.011	28.2835	40000	219136	740.912	59.5407	-219240
6	160.582	33.2956	30000	212805	769.647	103.092	-212909
7	190	40.665	20000	206124	580.609	119.284	-206229
8	220.178	50.3422	10000	200649	642.914	252.078	-200754
9	251.676	52.7432	0	190958	637.377	-173.897	-191063
10	281.115	43.2853	-10000	184318	494.526	-201.774	-184423
11	311.619	33.8901	-20000	175313	597.736	-94.754	-175417
12	340.184	35.6213	-30000	167501	525.742	116.578	-167606
13	373.403	40.2271	-40000	161911	678.14	-8.20247	-162015
14	409.579	30.8687	-50000	156410	526.513	-216.036	-156515
15	442.686	22.496	-60000	150733	577.293	-92.2527	-150837
16	491.265	20.5177	-70000	144859	816.483	-2.98293	-144962
17	548.181	15.1789	-80000	138328	816.748	-74.6482	-138431
18	608.47	15.5959	-90000	132341	774.195	96.4254	-132444
19	0	0	-100000	0	0	0	0
0	-0.214116	0.766951	90000	252995	95.5351	136.757	-253100
1	2.41262	2.22156	80000	244349	91.4225	-87.4093	-244454
2	11.9935	2.02767	70000	238858	300.433	22.7978	-238963
3	18.0891	1.79183	60000	214988	153.981	-11.2943	-215094
4	24.441	4.20784	50000	209464	75.7639	113.704	-209569
5	34.6513	9.15976	40000	204392	294.877	86.5331	-204497
6	48.2333	15.2794	30000	198675	263.93	203.292	-198781
7	57.2759	23.8114	20000	191860	216.678	258.547	-191966
8	67.1575	37.003	10000	186225	70.6248	239.257	-186330
9	78.0368	43.9146	0	158360	192.622	86.6391	-158466
10	86.0685	45.2424	-10000	152665	71.3884	61.19	-152770
11	88.6101	53.0084	-20000	147332	-197.578	239.104	-147437
12	74.2367	68.1446	-30000	134939	-229.815	299.133	-135044
13	61.1346	88.2721	-40000	127825	-319.09	233.315	-127930
14	30.0611	117.806	-50000	118794	-400.432	648.219	-118897
15	-3.83822	165.029	-60000	113729	-434.239	461.736	-113833
16	-41.8126	207.434	-70000	108427	-401.869	425.934	-108531
17	-85.0329	251.69	-80000	102181	-473.599	498.042	-102284
18	-122.888	298.396	-90000	97152.3	-148.643	419.884	-97256.9
19	0	0	-100000	0	0	0	0
0	-1.17518	6.85906	90000	259674	-25.33	322.323	-259780
1	0.745061	21.004	80000	253359	207.391	334.518	-253464
2	15.4581	29.0985	70000	247771	401.968	41.429	-247877
3	35.7345	31.8484	60000	236634	530.963	138.114	-236739
4	65.4348	38.3185	50000	230411	728.68	172.895	-230516
5	91.4391	50.2905	40000	220571	493.212	421.739	-220676
6	119.989	69.0878	30000	214558	785.88	434.967	-214662
7	153.207	86.2832	20000	208602	744.439	293.896	-208706
8	192.968	100.96	10000	201952	852.173	263.24	-202056
9	232.958	112.987	0	196419	691.378	88.2815	-196524
10	267.416	119.582	-10000	190993	655.628	125.21	-191097
11	292.681	126.372	-20000	184471	283.93	254.144	-184577
12	311.389	139.353	-30000	178609	334.639	219.765	-178715
13	329.972	154.522	-40000	173369	369.008	283.539	-173474
14	351.222	168.635	-50000	167727	334.577	196.042	-167833
15	375.106	181.133	-60000	159852	419.297	238.613	-159957
16	397.715	200.82	-70000	150290	349.232	334.19	-150394
17	425.929	213.359	-80000	143362	452.883	77.2706	-143467
18	461.321	223.754	-90000	136831	580.092	223.513	-136935
19	0	0	-100000	0	0	0	0
0	0.378533	-4.11784	90000	259932	17.2684	-201.892	-260038
1	-2.35811	-14.1338	80000	254704	-135.268	-327.532	-254810
2	-7.54496	-27.6565	70000	249436	-161.351	-251.85	-249542
3	-16.6144	-41.8045	60000	243484	-320.546	-517.641	-243589
4	-31.148	-66.1462	50000	237134	-294.764	-587.19	-237238
5	-41.2783	-89.1309	40000	206484	-233.988	-508.988	-206589
6	-52.4087	-105.815	30000	196260	-302.296	-211.329	-196365
