LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	-2.524	0.322242	90000	608253	-206.228	57.1716	-608358
1	-7.55392	2.83697	80000	601067	-340.016	175.562	-601172
2	-14.2063	7.38144	70000	592077	-512.12	432.017	-592182
3	-19.3333	12.4566	60000	585836	-309.014	205.654	-585942
4	-23.5508	14.0337	50000	578575	-234.839	29.7381	-578681
5	-30.7633	17.041	40000	572356	-576.265	275.088	-572461
6	-40.8999	23.1068	30000	561299	-438.005	498.97	-561405
7	-48.0205	30.3107	20000	553713	-203.126	258.976	-553818
8	-51.9903	33.6589	10000	547202	-327.021	27.4024	-547307
9	-55.9466	32.9536	0	541408	-139.928	15.8616	-541513
10	-57.8344	33.2268	-10000	532580	28.7489	57.8843	-532686
11	-58.1455	34.0716	-20000	521793	103.515	-26.9023	-521899
12	-54.929	35.4984	-30000	509817	211.557	205.852	-509923
13	-49.2475	40.2757	-40000	501114	320.424	206.323	-501220
14	-42.6978	45.1383	-50000	485013	382.308	302.587	-485118
15	-35.8436	50.4882	-60000	471721	281.02	270.071	-471827
16	-30.1982	56.0126	-70000	464624	255.814	278.256	-464730
17	-25.7518	62.7807	-80000	449719	141.762	250.496	-449824
18	-24.0683	71.1677	-90000	442705	-48.2877	418.657	-442811
19	0	0	-100000	0	0	0	0
0	-1.19855	0.962843	90000	601750	-89.6414	134.009	-601856
1	-2.26518	4.18132	80000	582107	-88.2982	205.875	-582213
2	-0.451513	5.56737	70000	575366	134.832	-35.0283	-575471
3	0.660775	4.04591	60000	569348	32.0755	-84.1584	-569454
4	3.68143	0.822525	50000	502869	258.725	-122.406	-502974
5	7.67912	-0.894333	40000	497281	141.67	-5.30859	-497386
6	8.54117	-2.55272	30000	491683	-14.5492	-168.43	-491789
7	6.43039	-5.8377	20000	485465	-153.598	-274.835	-485571
8	2.29687	-14.4241	10000	479166	-204.609	-629.864	-479272
9	-2.90318	-24.8194	0	473037	-205.017	-509.432	-473143
10	-10.4299	-35.652	-10000	465391	-399.865	-525.735	-465496
11	-15.8784	-45.3493	-20000	453550	-12.3731	-262.157	-453656
12	-15.7078	-50.0267	-30000	447451	189.881	-209.682	-447557
13	-11.9205	-57.184	-40000	418766	252.877	-411.8	-418872
14	-7.36124	-65.7169	-50000	413359	123.032	-220.122	-413465
15	-6.70101	-70.4113	-60000	404472	-27.0747	-243.977	-404577
16	-8.61372	-77.8734	-70000	397929	18.4298	-273.427	-398035
17	-6.45298	-86.9341	-80000	390575	99.1555	-404.859	-390680
18	-4.79922	-97.6003	-90000	384701	-6.05946	-507.347	-384807
19	0	0	-100000	0	0	0	0
0	-0.901481	-1.79854	90000	606116	9.22026	-175.675	-606221
1	-0.874333	-5.95336	80000	591813	102.319	-208.887	-591919
2	0.896705	-10.3668	70000	581897	197.844	-287.611	-582003
3	5.31609	-14.2715	60000	555898	256.207	-212.838	-556004
4	10.4646	-18.2178	50000	548012	295.661	-229.68	-548117
5	13.2418	-23.2806	40000	240670	2.90321	-221.661	-240775
6	14.9712	-30.5305	30000	234073	78.1159	-113.626	-234179
7	20.0215	-30.8313	20000	228393	102.005	167.556	-228499
8	28.827	-23.5941	10000	222893	230.544	50.3459	-222999
9	38.4703	-18.3761	0	214510	246.336	108.034	-214615
10	55.1868	-15.9833	-10000	206062	363.172	145.03	-206168
11	78.7077	-13.0229	-20000	200275	523.779	-20.1807	-200380
12	108.919	-15.1621	-30000	193266	567.079	20.2677	-193370
13	133.287	-14.7407	-40000	187130	483.718	105.084	-187235
14	162.157	-5.8292	-50000	181486	502.664	155.566	-181591
15	179.962	0.822769	-60000	175733	299.679	54.2576	-175838
16	195.607	1.5061	-70000	170084	260.218	19.0804	-170189
17	213.137	5.45644	-80000	162855	403.679	140.769	-162960
18	231.9	18.6997	-90000	154418	194.311	279.601	-154523
19	0	0	-100000	0	0	0	0
0	-0.0115926	-0.574274	90000	608449	-53.2707	-124.962	-608555
1	-0.716472	-3.7304	80000	601202	-13.008	-201.917	-601307
2	-0.662452	-6.28807	70000	594633	73.203	4.02469	-594738
3	0.795006	-3.50706	60000	576721	166.001	237.929	-576827
4	6.97916	-1.61413	50000	560530	473.184	75.9549	-560636
5	13.6272	0.806526	40000	554566	250.788	140.504	-554672
6	17.7619	1.95578	30000	545218	180.117	104.117	-545324
7	21.2311	2.97303	20000	539187	206.092	13.6275	-539293
8	23.1558	2.98743	10000	482895	66.7904	59.9858	-483001
9	25.0638	7.02457	0	476533	51.112	417.374	-476639
10	25.0244	13.3792	-10000	469292	47.6619	121.698	-469397
11	27.7449	19.8729	-20000	463115	35.1224	412.282	-463220
12	30.035	25.0914	-30000	457057	72.6416	170.363	-457163
13	33.3565	29.2507	-40000	445717	99.8028	118.991	-445823
14	34.5986	35.352	-50000	437119	11.8486	302.043	-437225
15	37.9501	45.4026	-60000	417784	303.684	697.272	-417889
16	47.4071	60.2627	-70000	410546	369.717	534.938	-410651
17	56.1195	73.1306	-80000	399381	196.086	621.741	-399486
18	59.0502	88.5818	-90000	393259	52.6936	619.979	-393364
19	0	0	-100000	0	0	0	0
0	-0.0613707	1.25903	90000	607406	-96.5256	43.2266	-607512
1	-0.799592	1.60952	80000	599945	64.6982	8.4587	-600051
2	1.02179	1.14611	70000	592121	107.651	-126.871	-592227
3	3.31695	-3.05389	60000	586171	139.115	-569.901	-586276
4	7.02481	-12.0669	50000	578716	270.002	-614.043	-578822
5	14.6361	-22.9558	40000	569907	620.852	-672.655	-570012
6	22.151	-32.6799	30000	563931	310.724	-654.601	-564036
7	28.508	-44.4114	20000	557578	525.553	-683.05	-557683
8	38.6659	-56.2558	10000	551186	681.959	-621.48	-551291
9	52.3984	-67.1488	0	542180	729.421	-547.135	-542285
10	67.355	-77.6172	-10000	535419	846.398	-547.571	-535523
11	83.2063	-86.2356	-20000	529194	820.227	-350.989	-529299
12	99.4449	-92.2551	-30000	519765	905.605	-343.999	-519870
13	116.864	-98.7761	-40000	420334	608.973	-206.551	-420440
14	128.502	-102.917	-50000	415007	506.444	-151.04	-415113
