LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	-4.07187	1.35205	90000	207233	-70.4782	-3.19716	-207339
1	-0.412307	3.81575	80000	199915	79.7123	55.1367	-200020
2	9.15051	11.1287	70000	194534	321.747	149.195	-194640
3	21.4574	17.5644	60000	189068	266.692	54.4958	-189173
4	34.7657	18.2507	50000	181919	309.415	-11.4553	-182024
5	51.8008	16.5654	40000	174579	264.509	-127.956	-174685
6	67.0057	7.51694	30000	167710	243.331	-131.412	-167816
7	90.3658	1.43419	20000	161785	543.949	-24.7983	-161890
8	118.373	1.18573	10000	155650	455.523	51.2779	-155754
9	153.185	1.91131	0	149521	687.352	-196.041	-149625
10	198.444	-14.887	-10000	140498	596.017	-195.79	-140602
11	241.946	-25.0518	-20000	134283	616.725	-159.367	-134387
12	289.663	-38.639	-30000	128565	595.551	-206.698	-128669
13	339.128	-54.2744	-40000	123036	575.634	-192.7	-123140
14	387.449	-63.9042	-50000	115738	581.291	-156.391	-115842
15	430.622	-85.8623	-60000	108090	477.576	-301.667	-108194
16	464.605	-111.854	-70000	102566	323.172	-154.824	-102671
17	498.995	-125.542	-80000	94212.3	282.6	-137.528	-94317.3
18	532.616	-134.089	-90000	88471.6	355.008	-61.0739	-88576.4
19	0	0	-100000	0	0	0	0
0	-2.3192	-3.79636	90000	214317	-143.432	-79.3276	-214423
1	-8.53169	-5.74329	80000	205786	-96.7914	-25.8741	-205892
2	-7.49735	-12.4812	70000	197954	129.128	-120.545	-198059
3	-1.74575	-23.661	60000	191921	292.231	-380.847	-192026
4	14.7506	-47.1488	50000	183061	262.001	-459.545	-183165
5	28.0769	-70.0902	40000	175712	106.562	-504.565	-175817
6	34.1256	-97.8576	30000	170324	101.411	-533.566	-170429
7	41.1998	-134.098	20000	164046	128.589	-655.715	-164150
8	50.8636	-176.423	10000	157691	279.13	-804.012	-157795
9	63.9061	-224.713	0	152392	272.867	-775.03	-152496
10	95.5571	-273.057	-10000	146920	586.123	-670.517	-147023
11	132.127	-323.955	-20000	141175	486.263	-823.134	-141277
12	164.531	-383.884	-30000	135254	546.666	-913.236	-135355
13	215.082	-459.156	-40000	128583	829.409	-858.598	-128683
14	273.37	-543.096	-50000	123249	683.099	-1129.64	-123348
15	331.727	-633.574	-60000	116038	742.963	-1010.49	-116137
16	383.036	-718.756	-70000	109535	475.252	-931.57	-109635
17	431.767	-798.53	-80000	99736.4	367.791	-831.398	-99837.8
18	473.733	-869.66	-90000	94331.2	465.669	-652.539	-94433.4
19	0	0	-100000	0	0	0	0
0	-1.82763	2.88029	90000	214549	-27.2927	124.823	-214654
1	4.18209	8.49457	80000	209084	279.128	181.791	-209189
2	23.5158	23.4635	70000	203390	452.721	367.902	-203495
3	50.699	36.996	60000	198243	619.728	98.8563	-198347
4	95.3462	42.2304	50000	192332	861.361	62.1169	-192436
5	133.926	41.7832	40000	184792	728.831	-67.0858	-184896
