LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	-0.413016	-0.0269754	80000	3.5628e+06
1	-1.50217	0.0818805	60000	3.52458e+06
2	-2.11457	-0.433495	40000	3.44613e+06
3	-3.53774	-0.420174	20000	3.38043e+06
4	-4.4808	-0.637881	0	3.31415e+06
5	-4.76661	-0.876069	-20000	3.29093e+06
6	-4.88719	-2.69	-40000	3.23967e+06
7	-4.2607	-5.32156	-60000	3.22376e+06
8	-2.96279	-8.97329	-80000	3.11864e+06
9	-2.27133	-10.5736	-100000	3.05633e+06
0	-1.12177	-0.510065	80000	3.44513e+06
1	-2.9128	-1.1279	60000	3.4152e+06
2	-5.70127	-2.60873	40000	2.97154e+06
3	-8.15086	-4.61368	20000	2.94384e+06
4	-9.25413	-6.06105	0	2.91584e+06
5	-9.59863	-6.0906	-20000	2.88855e+06
6	-9.47219	-4.74518	-40000	2.82022e+06
7	-9.94949	-4.16573	-60000	2.7933e+06
8	-10.1255	-5.63164	-80000	2.75656e+06
9	-10.5361	-7.86276	-100000	2.67837e+06
0	-0.0353652	-0.0738404	80000	3.5205e+06
1	0.178427	1.09715	60000	3.47321e+06
2	-0.519973	2.89238	40000	3.36239e+06
3	-1.66561	5.80531	20000	3.3149e+06
4	-3.51494	9.02165	0	3.27457e+06
5	-6.49156	11.6465	-20000	3.25206e+06
6	-8.02903	13.2875	-40000	3.18276e+06
7	-9.13823	15.3189	-60000	3.14982e+06
8	-10.6685	18.4957	-80000	2.28242e+06
9	-15.9161	19.5044	-100000	2.25861e+06
0	-0.543136	-0.221831	80000	3.56661e+06
1	-1.44618	-0.795331	60000	3.55182e+06
2	-2.09267	-0.041856	40000	3.52369e+06
3	-1.3387	0.42199	20000	3.46873e+06
4	-0.16352	1.1018	0	3.40015e+06
5	-0.621845	0.72352	-20000	3.23897e+06
6	-0.771533	-0.0770825	-40000	3.21218e+06
7	-0.341271	-0.28187	-60000	3.19513e+06
8	0.303171	-1.05718	-80000	3.08543e+06
9	0.497819	-1.70593	-100000	2.97861e+06
0	0.595333	0.226146	80000	3.57067e+06
1	-0.578777	1.64149	60000	3.52224e+06
2	-3.78272	2.57914	40000	3.48961e+06
3	-6.95908	2.6547	20000	3.3838e+06
4	-10.7854	2.82202	0	3.15945e+06
5	-14.5467	3.09353	-20000	3.12391e+06
6	-18.5605	2.872	-40000	2.90587e+06
7	-22.7344	-0.234848	-60000	2.88831e+06
8	-25.6918	-4.59238	-80000	2.86087e+06
9	-29.2525	-9.68815	-100000	2.84332e+06
0	0.538051	0.164238	80000	3.55884e+06
1	1.96678	1.96995	60000	3.50527e+06
2	4.55282	3.70385	40000	2.89255e+06
3	7.88912	5.17906	20000	2.83193e+06
4	10.9365	5.38346	0	2.81386e+06
5	14.7206	4.54229	-20000	2.78591e+06
6	17.9595	1.77944	-40000	2.76501e+06
7	20.5383	-1.1126	-60000	2.73389e+06
8	23.656	-4.5614	-80000	2.70809e+06
9	25.4163	-7.05343	-100000	2.6876e+06
0	0.045019	-0.494077	80000	3.54575e+06
