LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	0.0570548	1.58135	90000	731252	33.9714	157.098	-731358
1	-0.729319	3.42497	80000	709686	-57.0454	188.716	-709791
2	-2.17424	7.13117	70000	702691	-64.5201	278.404	-702797
3	-1.90307	10.5631	60000	589652	86.1365	165.885	-589757
4	-2.06421	14.1166	50000	583106	-173.066	197.118	-583212
5	-5.62379	19.0823	40000	575604	-269.763	61.5221	-575709
6	-10.5102	17.4942	30000	566039	-184.389	-170.801	-566144
7	-12.019	14.8139	20000	523821	-88.3323	-158.484	-523927
8	-12.7719	10.4378	10000	514856	-99.3131	-297.022	-514961
9	-17.2885	3.32281	0	508865	-356.029	-386.057	-508971
10	-23.2723	-0.967074	-10000	489439	-263.338	-163.33	-489545
11	-26.6668	-2.34694	-20000	480936	16.1074	113.218	-481042
12	-24.6989	-1.10644	-30000	475208	213.485	-45.6232	-475314
13	-19.8673	-0.514734	-40000	468942	250.781	49.8224	-469048
14	-15.0709	-0.172408	-50000	461258	92.4688	137.233	-461363
15	-14.0642	3.21327	-60000	452906	-34.7323	184.747	-453011
16	-16.2216	8.6629	-70000	445978	-35.4571	269.691	-446083
17	-17.0295	17.1272	-80000	436943	-108.34	407.106	-437048
18	-17.7177	25.244	-90000	425934	-34.0025	306.377	-426040
19	0	0	-100000	0	0	0	0
0	0.430021	-1.38925	90000	731179	55.2471	-153.208	-731285
1	2.75701	-5.89729	80000	718774	246.978	-408.537	-718879
2	8.49661	-12.6532	70000	709555	424.763	-419.268	-709660
3	14.7947	-18.8891	60000	702099	568.85	-522.982	-702204
4	23.2873	-23.137	50000	696991	609.603	-100.909	-697096
5	32.7434	-24.8468	40000	689918	637.039	-30.1166	-690024
6	41.5963	-24.8001	30000	684151	521.189	52.6448	-684256
7	47.6801	-23.7479	20000	668078	229.369	64.195	-668184
8	51.9884	-23.6166	10000	660967	221.781	-155.089	-661073
9	55.7117	-26.34	0	652355	318.704	-162.826	-652461
10	60.1045	-26.5274	-10000	646141	220.348	85.3152	-646247
11	62.2803	-24.9667	-20000	640196	86.3255	99.0685	-640302
12	64.1065	-25.1809	-30000	634301	9.34499	-121.931	-634406
13	66.0443	-28.3064	-40000	624802	99.7142	-164.034	-624908
14	68.1046	-32.9487	-50000	592336	148.465	-271.415	-592441
15	71.2526	-36.0882	-60000	584977	234.272	-97.8601	-585082
16	77.4283	-36.9429	-70000	571356	424.815	-49.5835	-571461
17	84.1508	-36.5747	-80000	564557	342.082	95.8152	-564662
18	89.4547	-35.621	-90000	556034	155.805	115.245	-556139
19	0	0	-100000	0	0	0	0
0	-1.28406	0.523802	90000	730681	-80.5328	186.808	-730787
1	-2.40096	3.95436	80000	724932	-48.0265	298.705	-725038
2	-1.43453	7.04563	70000	711257	73.3368	95.285	-711362
3	-0.5438	9.9274	60000	704683	-15.4198	183.082	-704789
4	-1.47747	11.1865	50000	696420	-39.1733	-90.8697	-696526
5	-3.84807	9.75478	40000	681663	-255.8	5.80343	-681769
6	-9.54973	10.8119	30000	665054	-517.309	113.205	-665159
7	-19.2145	11.4077	20000	659449	-799.428	-83.3816	-659554
8	-30.8423	10.348	10000	648197	-857.802	-120.423	-648302
9	-45.3329	8.67685	0	642548	-975.287	-181.004	-642653
10	-60.6502	6.22585	-10000	634874	-995.091	-130.886	-634978
11	-78.4306	4.24893	-20000	619351	-1196.07	-121.926	-619456
12	-98.8184	2.99624	-30000	610986	-1277.49	-66.7351	-611090
13	-120.436	0.580383	-40000	603467	-1309.5	-203.333	-603571
14	-142.764	-3.49586	-50000	594643	-1216.66	-406.896	-594747
15	-162.866	-8.36958	-60000	587713	-1178.04	-219.203	-587818
16	-182.491	-12.0468	-70000	577844	-1093.52	-369.86	-577948
17	-200.742	-17.9136	-80000	570194	-1022.12	-256.776	-570299
18	-221.887	-21.6257	-90000	557594	-1224.45	-193.627	-557698
19	0	0	-100000	0	0	0	0
0	-1.4756	-0.277634	90000	732830	-88.3428	-40.6314	-732936
1	-4.012	-0.0324254	80000	726249	-333.086	51.4258	-726355
2	-6.34936	-0.306187	70000	719961	-6.15134	-35.8216	-720066
3	-7.39276	-0.488146	60000	699748	-15.7906	5.82531	-699854
4	-7.9367	-1.61848	50000	694462	-74.3955	-167.57	-694567
5	-8.34912	-5.41929	40000	687039	-85.8129	-360.196	-687144
6	-12.7172	-11.6717	30000	677587	-339.023	-367.393	-677693
7	-15.4409	-14.809	20000	669318	-112.273	-206.326	-669423
8	-17.6762	-20.0339	10000	658093	-95.1325	-374.067	-658198
9	-19.3366	-24.5171	0	649317	-126.577	-182.457	-649422
10	-18.8676	-27.2497	-10000	643362	178.072	-270.34	-643468
11	-14.2621	-30.1337	-20000	634120	289.219	-55.1927	-634225
12	-8.82663	-30.5144	-30000	626931	222.597	-129.416	-627036
13	-5.75291	-32.9946	-40000	618561	251.511	-159.001	-618667
14	-1.08968	-35.1029	-50000	612395	241.972	-44.0162	-612501
15	2.59385	-33.7798	-60000	606940	225.038	158.181	-607045
16	4.90049	-33.154	-70000	588461	124.718	-125.857	-588567
17	7.36956	-35.2266	-80000	581029	101.971	-99.0087	-581134
18	8.78311	-35.7193	-90000	573690	34.9916	89.637	-573795
19	0	0	-100000	0	0	0	0
0	1.20678	-2.20047	90000	733272	104.908	-243.05	-733378
1	3.70078	-6.127	80000	726201	163.839	-367.748	-726307
2	5.89355	-10.1485	70000	707591	129.011	-170.737	-707696
3	7.61621	-15.5209	60000	693541	165.476	-528.825	-693647
4	8.86311	-25.6712	50000	684419	161.213	-603.486	-684525
5	9.88106	-36.2339	40000	675984	66.3739	-703.795	-676089
6	8.59019	-47.4877	30000	664284	-315.3	-744.828	-664389
7	2.4781	-58.7712	20000	658377	-476.28	-760.101	-658482
8	-3.54723	-69.7992	10000	649964	-436.483	-724.961	-650069
9	-10.1403	-78.6316	0	635744	-371.596	-509.22	-635849
