LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	-1.23307	0.916816	90000	883851	-115.013	182.741	-883956
1	-3.15962	5.11485	80000	870093	-104.498	420.402	-870198
2	-3.80815	9.35735	70000	863989	-40.9907	341.176	-864095
3	-3.86203	12.9643	60000	856536	64.9285	269.914	-856642
4	-4.01647	14.766	50000	848861	-18.3746	39.6152	-848967
5	-5.30813	17.0671	40000	843220	-145.543	194.594	-843326
6	-8.19708	19.0304	30000	833346	-278.481	138.851	-833452
7	-11.0715	22.4552	20000	816263	-247.974	384.061	-816368
8	-14.9414	27.3448	10000	808894	-379.497	354.824	-808999
9	-20.4755	32.2932	0	803100	-505.969	411.509	-803206
10	-25.0984	35.8651	-10000	793796	-321.621	287.431	-793901
11	-30.18	39.478	-20000	780934	-472.79	397.204	-781040
12	-38.1537	45.5401	-30000	774479	-772.655	577.266	-774584
13	-47.7439	52.8947	-40000	762387	-781.608	554.074	-762492
14	-57.5476	59.8961	-50000	756106	-687.24	639.304	-756211
15	-66.7344	70.1485	-60000	748705	-739.236	907.822	-748809
16	-76.4934	82.7451	-70000	740825	-629.053	935.882	-740929
17	-85.5955	93.4768	-80000	730096	-636.924	670.257	-730201
18	-94.1737	103.077	-90000	723490	-622.078	636.955	-723596
19	0	0	-100000	0	0	0	0
0	1.44035	-0.370773	90000	883785	273.959	-15.7526	-883890
1	6.3867	-1.25058	80000	876841	539.271	-116.385	-876946
2	13.5512	-3.54826	70000	868698	605.903	-127.665	-868803
3	19.8147	-4.23658	60000	842830	440.332	79.7778	-842936
4	23.7687	-3.85811	50000	837656	200.146	85.5981	-837761
5	25.1076	-2.3776	40000	829644	41.7146	175.848	-829750
6	26.0288	-0.280879	30000	816623	187.806	147.244	-816728
7	25.9524	2.16424	20000	742457	-259.788	277.738	-742563
8	21.7063	6.1819	10000	737228	-363.029	289.902	-737334
9	16.7708	11.3557	0	704322	-336.173	564.682	-704427
10	13.2409	18.2153	-10000	696846	-124.851	544.96	-696951
11	12.7655	28.4888	-20000	689288	-28.7122	835.863	-689393
12	11.2159	39.8875	-30000	680179	-275.613	712.815	-680284
13	8.00825	48.7632	-40000	672775	-118.79	544.4	-672880
14	6.08726	57.0927	-50000	667365	-250.784	507.428	-667470
15	0.58123	63.7785	-60000	652615	-458.102	329.522	-652721
16	-4.55594	67.3119	-70000	641149	-237.713	157.972	-641255
17	-7.25535	69.5013	-80000	624520	-153.045	84.7849	-624625
18	-8.30114	71.9297	-90000	616776	-77.6691	42.4949	-616881
19	0	0	-100000	0	0	0	0
0	0.901233	-1.17549	90000	882794	147.833	-152.679	-882900
1	3.42403	-0.86721	80000	866609	214.499	88.6327	-866715
2	4.51033	-0.206674	70000	859980	-20.4746	102.83	-860086
3	4.65361	-0.185195	60000	850035	87.0245	-19.0311	-850141
4	4.67804	-0.214045	50000	842475	44.7998	-165.07	-842581
5	5.44297	-3.6586	40000	836762	164.99	-248.411	-836867
6	7.50927	-5.60701	30000	830500	146.318	-90.9033	-830605
7	9.50869	-7.23042	20000	823873	246.225	-126.426	-823979
8	13.4681	-7.98217	10000	811000	280.328	52.6191	-811106
9	17.7274	-7.18506	0	803487	240.361	17.4622	-803592
10	21.5924	-6.06075	-10000	786136	381.815	110.816	-786241
11	25.5817	-3.50298	-20000	765058	219.244	315.552	-765164
12	29.2758	0.562162	-30000	758314	373.253	358.25	-758419
13	35.1433	4.10441	-40000	751448	519.079	288.482	-751553
14	41.7293	8.30229	-50000	745303	432.992	281.083	-745408
15	48.0374	12.7001	-60000	737771	391.265	394.771	-737877
16	52.4529	17.703	-70000	692758	265.836	211.937	-692863
17	56.8077	21.2255	-80000	675073	664.82	358.885	-675178
18	66.5805	26.7492	-90000	656984	578.892	354.856	-657090
19	0	0	-100000	0	0	0	0
0	-1.10848	-0.0592488	90000	880968	-87.3095	144.836	-881073
1	-2.2567	1.75337	80000	874327	-87.1242	184.46	-874432
2	-2.34738	1.82331	70000	868437	17.9855	-227.112	-868542
3	-2.49103	-1.11806	60000	862245	-180.601	-352.028	-862350
4	-5.30904	-6.69079	50000	856458	-248.332	-572.93	-856563
5	-9.3536	-13.0653	40000	850992	-316.666	-657.874	-851097
6	-13.327	-20.7808	30000	837698	-223.92	-633.599	-837803
7	-15.6712	-27.9215	20000	830422	-127.855	-656.426	-830527
8	-18.3489	-35.7065	10000	817392	-223.775	-629.713	-817497
9	-21.065	-43.6652	0	811988	-251.673	-727.255	-812093
10	-24.182	-52.9377	-10000	796782	-309.242	-811.132	-796887
11	-25.7157	-63.9735	-20000	785853	-141.626	-967.381	-785958
12	-28.6897	-77.1438	-30000	777028	-288.852	-1047.8	-777133
13	-33.947	-91.2783	-40000	762776	-386.707	-1010.76	-762881
14	-36.5806	-104.773	-50000	743583	-109.72	-1030.15	-743688
15	-37.3208	-118.076	-60000	730099	70.2901	-967.735	-730204
16	-37.3423	-132.146	-70000	720490	-95.5595	-1053.61	-720594
17	-36.0364	-146.179	-80000	712556	-8.60921	-982.739	-712661
18	-36.4667	-158.681	-90000	706352	-76.5529	-825.348	-706458
19	0	0	-100000	0	0	0	0
0	0.133128	0.280478	90000	883597	92.0702	87.7022	-883703
1	1.30059	-0.0159401	80000	873534	111.632	-56.6754	-873640
2	2.98559	-0.0965641	70000	867133	133.977	54.5373	-867239
3	5.22162	-0.482896	60000	861445	188.781	-23.9338	-861550
4	6.83529	-1.0332	50000	855635	93.8338	-12.3714	-855741
5	6.95698	-0.920938	40000	847720	-69.7281	29.8703	-847826
6	5.65018	0.110511	30000	839390	-204.547	20.5938	-839496
7	2.13451	0.55517	20000	830726	-292.736	147.864	-830831
8	-1.45706	1.60221	10000	825445	-353.396	4.86742	-825551
9	-6.556	2.11374	0	814952	-415.404	10.8527	-815058
10	-12.6875	0.94058	-10000	809189	-523.275	-151.139	-809295
11	-18.5231	0.603087	-20000	803400	-362.009	-23.8068	-803505
12	-24.0407	-2.18998	-30000	795481	-484.53	-197.266	-795587
13	-29.169	-3.94444	-40000	771017	-364.153	-96.0104	-771123
14	-35.0083	-3.90352	-50000	755998	-501.028	71.8255	-756103
15	-40.8983	-2.99536	-60000	746339	-234.71	106.251	-746445
16	-43.966	-3.32608	-70000	740082	-256.348	-118.334	-740188
17	-49.7337	-4.47938	-80000	730852	-398.699	-209.128	-730957
18	-53.9118	-7.00903	-90000	721381	-274.466	-166.477	-721486
19	0	0	-100000	0	0	0	0
0	0.973014	-0.133088	90000	872008	108.029	98.9415	-872114
1	1.36904	0.260554	80000	852192	-7.29257	-95.2363	-852298
2	2.27112	0.0830749	70000	845459	157.846	-21.5922	-845565
3	4.99561	-0.0753771	60000	839791	244.339	-30.3711	-839897
4	7.79303	-0.258257	50000	831056	212.36	-12.2077	-831162
5	10.5833	-0.00204923	40000	745065	260.362	68.5824	-745171
6	14.2133	0.359348	30000	731580	235.6	129.461	-731685
7	17.9585	1.69608	20000	724512	393.862	29.3558	-724617
8	24.4412	1.03128	10000	707117	554.113	-17.0486	-707223
9	31.2661	1.62447	0	695687	438.044	14.7659	-695792
10	38.3242	2.64613	-10000	689469	574.603	80.4043	-689574
11	45.3474	3.92871	-20000	673718	490.967	-40.603	-673823
12	52.178	3.23005	-30000	661606	558.415	-17.9435	-661712
13	61.1638	0.586355	-40000	654215	593.73	-185.75	-654320
14	68.5556	-2.63307	-50000	647992	354.529	-270.925	-648098
15	74.1111	-8.1917	-60000	638998	430.603	-582.361	-639103
16	82.0311	-16.4604	-70000	632566	654.737	-535.601	-632671
17	92.8306	-26.4261	-80000	574982	636.046	-705.692	-575086
18	104.869	-37.7892	-90000	562196	775.706	-596.928	-562301
19	0	0	-100000	0	0	0	0
0	-0.552	-1.31124	90000	869493	60.3539	-267.243	-869598
1	-0.625048	-5.68567	80000	860107	118.399	-339.003	-860213
2	0.0932991	-9.51901	70000	854506	-66.2403	-334.749	-854611
3	-1.78229	-13.5202	60000	847924	-139.541	-296.339	-848030
4	-3.23916	-16.3136	50000	841858	25.7475	-325.053	-841964
5	-2.6235	-18.2653	40000	836073	-16.7571	-90.3463	-836178
6	-1.8943	-21.0756	30000	708261	139.057	-225.033	-708366
7	-0.467683	-23.2268	20000	699702	23.1844	-194.881	-699808
8	-1.86605	-26.8525	10000	692259	-93.3187	-188.065	-692364
9	-3.19138	-30.4152	0	673422	-70.1398	-202.164	-673528
10	-4.61074	-34.4509	-10000	661533	-51.4168	-373.533	-661639
11	-7.39726	-39.0774	-20000	649568	-307.811	-246.548	-649674
12	-13.464	-44.1772	-30000	643377	-375.059	-412.601	-643483
13	-17.7749	-50.3771	-40000	634268	-146.902	-333.367	-634373
14	-20.2135	-55.0757	-50000	612293	-275.834	-75.7991	-612399
15	-24.9245	-55.6043	-60000	606649	-400.549	-87.6456	-606755
16	-33.6474	-56.2698	-70000	599713	-565.994	58.1861	-599818
17	-44.2102	-55.8314	-80000	593465	-641.279	-24.3277	-593571
18	-55.6987	-56.0161	-90000	587391	-869.473	-86.3423	-587496
19	0	0	-100000	0	0	0	0
0	1.93984	-0.830696	90000	883281	182.779	-167.58	-883387
1	4.01326	-3.6175	80000	877448	315.941	-499.213	-877554
2	8.80428	-8.65171	70000	856182	515.854	-463.588	-856287
3	13.499	-15.7931	60000	848202	232.557	-609.364	-848308
4	15.3979	-22.3721	50000	842996	141.69	-600.005	-843101
5	17.9496	-28.5105	40000	836722	223.05	-492.561	-836827
6	22.8332	-33.1397	30000	830079	545.735	-277.683	-830185
7	29.7728	-36.3162	20000	813375	542.179	-178.115	-813481
8	34.8055	-38.8595	10000	805574	336.027	-241.33	-805680
9	39.8265	-41.3769	0	799170	494.188	-82.647	-799275
10	45.325	-41.5217	-10000	793881	393.261	-24.2897	-793986
11	52.6525	-42.2765	-20000	787107	866.728	-103.018	-787213
12	62.685	-43.7686	-30000	773417	715.651	-60.8994	-773522
13	72.4006	-44.9361	-40000	759524	834.242	-109.891	-759629
14	81.8389	-46.5503	-50000	753087	599.211	-96.4278	-753192
15	91.3118	-49.6312	-60000	744107	757.586	-392.17	-744212
16	101.951	-56.3493	-70000	737341	753.159	-484.193	-737446
17	111.892	-64.3087	-80000	731097	691.918	-773.709	-731202
18	123.524	-76.4654	-90000	724376	795.225	-1024.69	-724481
19	0	0	-100000	0	0	0	0
0	-0.728854	1.57792	90000	883249	-225.989	250.942	-883354
1	-6.47219	4.25227	80000	844746	-630.436	254.689	-844851
2	-14.2683	7.26041	70000	837953	-730.808	180.26	-838059
3	-21.0144	9.74989	60000	826641	-342.077	240.153	-826746
4	-25.4873	11.982	50000	784266	-405.656	140.558	-784372
5	-29.5663	14.1586	40000	776282	-357.328	199.344	-776387
6	-32.9859	17.1294	30000	768193	-172.285	293.3	-768299
7	-34.9916	21.0243	20000	754211	-116.022	242.927	-754317
8	-37.5066	22.3453	10000	742091	-163.669	68.4297	-742197
9	-38.7311	23.8537	0	726407	-39.2905	109.535	-726512
10	-37.9496	24.097	-10000	712038	145.002	-17.0881	-712143
11	-36.048	23.4086	-20000	702956	123.711	-61.4235	-703062
12	-35.0689	24.2107	-30000	695766	48.5728	178.546	-695871
13	-33.2942	25.9535	-40000	688864	85.2865	176.846	-688970
14	-33.2975	29.4687	-50000	682841	-66.244	217.915	-682947
15	-34.6651	31.4571	-60000	677359	-121.026	165.581	-677464
16	-37.7677	35.4156	-70000	669142	-296.155	384.717	-669248
17	-40.7672	40.4703	-80000	657477	-1.58358	322.144	-657583
18	-39.0635	44.8977	-90000	648959	177.826	373.384	-649065
19	0	0	-100000	0	0	0	0
0	-1.1912	0.151066	90000	881289	-200.974	-145.681	-881394
1	-4.2351	-0.862763	80000	875326	-336.821	62.8488	-875431
2	-8.46268	-0.663338	70000	869188	-337.199	123.281	-869293
3	-11.2429	0.791652	60000	859510	-259.473	204.558	-859616
4	-14.2724	4.8425	50000	852534	-404.456	447.095	-852640
